#PI: Shappee 
#OBJECT: SN 2011fe 
#JD: 2457104.01466 
# 
#Angstrom    Flux(erg/s/cm**2/Angstrom) 
4187.9 3.1219767e-15 
4189.4 2.944975e-15 
4190.9 3.4002604e-15 
4192.3 3.1005745e-15 
4193.8 3.1070582e-15 
4195.3 3.1632281e-15 
4196.7 3.3708445e-15 
4198.2 3.1682498e-15 
4199.6 3.3742171e-15 
4201.1 3.136582e-15 
4202.6 3.2009818e-15 
4204.0 3.2640498e-15 
4205.5 2.9649003e-15 
4207.0 3.2039062e-15 
4208.4 3.3172833e-15 
4209.9 3.0213064e-15 
4211.4 3.2394172e-15 
4212.8 3.1911424e-15 
4214.3 3.2739437e-15 
4215.7 3.2230381e-15 
4217.2 3.5989509e-15 
4218.7 3.2093313e-15 
4220.1 3.2389247e-15 
4221.6 3.1716826e-15 
4223.1 3.3087392e-15 
4224.5 3.1554863e-15 
4226.0 2.9324609e-15 
4227.5 2.9070338e-15 
4228.9 3.1299954e-15 
4230.4 3.5122139e-15 
4231.8 3.1233082e-15 
4233.3 3.2427321e-15 
4234.8 3.2860012e-15 
4236.2 3.1877627e-15 
4237.7 3.2770928e-15 
4239.2 2.9541842e-15 
4240.6 3.4564751e-15 
4242.1 3.4580435e-15 
4243.6 3.4229148e-15 
4245.0 3.7658761e-15 
4246.5 3.1004488e-15 
4247.9 3.208108e-15 
4249.4 3.1431025e-15 
4250.9 3.0084445e-15 
4252.3 3.054389e-15 
4253.8 2.9423215e-15 
4255.3 3.1907065e-15 
4256.7 3.0231694e-15 
4258.2 3.0618608e-15 
4259.7 2.9706685e-15 
4261.1 3.0849052e-15 
4262.6 3.3778588e-15 
4264.0 3.2136836e-15 
4265.5 3.0527019e-15 
4267.0 2.8509697e-15 
4268.4 3.0564647e-15 
4269.9 3.1851168e-15 
4271.4 2.935092e-15 
4272.8 3.0922976e-15 
4274.3 3.2487426e-15 
4275.8 3.1497965e-15 
4277.2 3.2562178e-15 
4278.7 2.971096e-15 
4280.1 3.3022191e-15 
4281.6 2.8261691e-15 
4283.1 3.1002861e-15 
4284.5 3.0732304e-15 
4286.0 3.2449595e-15 
4287.5 3.0191577e-15 
4288.9 2.8613298e-15 
4290.4 3.0852371e-15 
4291.9 3.235906e-15 
4293.3 2.9899618e-15 
4294.8 3.2214576e-15 
4296.2 3.1217105e-15 
4297.7 3.196467e-15 
4299.2 2.9844793e-15 
4300.6 2.8235969e-15 
4302.1 2.8151018e-15 
4303.6 2.6392404e-15 
4305.0 2.955394e-15 
4306.5 2.8067397e-15 
4308.0 2.8126912e-15 
4309.4 2.8014121e-15 
4310.9 2.8773774e-15 
4312.3 2.8297248e-15 
4313.8 3.2946312e-15 
4315.3 3.3835305e-15 
4316.7 3.2551129e-15 
4318.2 3.4148662e-15 
4319.7 3.2191208e-15 
4321.1 3.1184495e-15 
4322.6 2.9434905e-15 
4324.1 3.1066576e-15 
4325.5 2.9450412e-15 
4327.0 2.8651398e-15 
4328.4 3.148172e-15 
4329.9 3.2870516e-15 
4331.4 2.7618053e-15 
