# SNID ztf24abodysq
# OBSERVER = Rich/Wise/Hinds
# RA 241.67929166666667
# OBS_DATE 2025-01-05 13:23:47.93
# MJD 60680.55819363
# DEC 16.32327777777778
# INSTRUMENT KAST
#wavelength flux flux_err
3941.80888222 -0.04866968 0.06081530
3942.81985973 0.07242904 0.06324147
3943.83083724 0.00395279 0.06326500
3944.84181475 0.04713424 0.06289790
3945.85279225 -0.16407005 0.06733131
3946.86376976 -0.00691858 0.06263708
3947.87474727 0.09334119 0.06303065
3948.88572478 -0.09192228 0.06525373
3949.89670229 0.11694244 0.06504878
3950.90767980 0.04286598 0.06538301
3951.91865731 0.12204666 0.06313471
3952.92963482 0.17117855 0.06145769
3953.94061233 0.18389525 0.06139506
3954.95158984 -0.02329402 0.06149075
3955.96256735 0.08520259 0.05987757
3956.97354486 0.11846395 0.05846506
3957.98452237 0.03563185 0.05878803
3958.99549988 -0.04946259 0.06078487
3960.00647739 -0.10713980 0.06301724
3961.01745489 -0.03857793 0.06156282
3962.02843240 0.01305528 0.05909176
3963.03940991 0.10140649 0.05759845
3964.05038742 0.14737013 0.05728025
3965.06136493 -0.04956045 0.05727870
3966.07234244 -0.06607321 0.05380929
3967.08331995 -0.03663604 0.05264588
3968.09429746 -0.07447922 0.05309555
3969.10527497 -0.01246799 0.05212793
3970.11625248 -0.01440175 0.05338998
3971.12722999 0.13150325 0.05667897
3972.13820750 0.05693514 0.05621383
3973.14918501 0.09899339 0.05877268
3974.16016252 0.13960640 0.05980843
3975.17114003 0.00633574 0.06005116
3976.18211753 -0.06336250 0.06309212
3977.19309504 -0.08196332 0.06436294
3978.20407255 0.16007365 0.06358501
3979.21505006 0.01533967 0.06422987
3980.22602757 -0.01666530 0.06269920
3981.23700508 0.03824517 0.06229117
3982.24798259 0.15104532 0.06477459
3983.25896010 0.05093472 0.06236622
3984.26993761 0.09541878 0.06298248
3985.28091512 -0.04013755 0.06334632
3986.29189263 0.08333583 0.06098634
3987.30287014 0.05743481 0.06320833
3988.31384765 -0.08964849 0.06537595
3989.32482516 -0.21449563 0.06440990
3990.33580267 -0.01307782 0.06671947
3991.34678018 0.23608954 0.06670343
3992.35775768 0.19523056 0.06529184
3993.36873519 0.02687980 0.06346916
3994.37971270 0.06215329 0.06509998
3995.39069021 -0.00941466 0.06702142
3996.40166772 -0.11500067 0.06495231
3997.41264523 0.08641249 0.06561259
3998.42362274 0.09515430 0.06568995
3999.43460025 -0.09372116 0.06440172
4000.44557776 -0.06383210 0.06693266
4001.45655527 -0.08262301 0.06579704
4002.46753278 -0.12122595 0.06364857
4003.47851029 -0.05598867 0.06251684
4004.48948780 0.07975388 0.06238112
4005.50046531 0.04734574 0.06221977
4006.51144282 0.07552388 0.06288031
4007.52242032 0.23365799 0.06814724
4008.53339783 0.08284848 0.06704994
4009.54437534 0.08691387 0.06516305
4010.55535285 0.13294785 0.06713285
4011.56633036 0.05622214 0.06491394
4012.57730787 -0.03288417 0.06687878
4013.58828538 -0.05842844 0.06619604
4014.59926289 0.03353628 0.06552751
4015.61024040 -0.06521951 0.06615760
4016.62121791 0.05406134 0.06462900
4017.63219542 0.13017865 0.06503984
