BITPIX  =                    8  /  8-bit ASCII characters                       
NAXIS   =                    1  /  Number of Image Dimensions                   
NAXIS1  =                  573  /  Length of axis                               
ORIGIN  = 'NOAO-IRAF: WTEXTIMAGE'  /
IRAF-MAX=                   0.  /  Max image pixel (out of date)                
IRAF-MIN=                   0.  /  Min image pixel (out of date)                
IRAF-B/P=                   32  /  Image bits per pixel                         
IRAFTYPE= 'REAL FLOATING     '  /  Image datatype                              
OBJECT  = 'SN1989B NAR NEW TILT!!!! - APERTURE 1'  /
FILENAME= 'CTIO_60_BLUE_06FEB89'  /
5998.77433  3.905763E-14
6007.05609500001  3.748608E-14
6015.33786  3.619464E-14
6023.619625  3.438558E-14
6031.90139  3.242928E-14
6040.183155  3.034520E-14
6048.46492  2.842539E-14
6056.746685  2.644630E-14
6065.02845  2.482580E-14
6073.31021500001  2.347433E-14
6081.59198  2.163353E-14
6089.873745  1.971270E-14
6098.15551  1.827852E-14
6106.437275  1.682724E-14
6114.71904  1.538456E-14
6123.000805  1.435437E-14
6131.28257  1.350147E-14
6139.564335  1.316995E-14
6147.8461  1.314535E-14
6156.127865  1.353768E-14
6164.40963  1.406220E-14
6172.691395  1.507621E-14
6180.97316  1.617001E-14
6189.254925  1.757192E-14
6197.53669  1.896975E-14
6205.818455  2.096295E-14
6214.10022  2.264397E-14
6222.381985  2.486334E-14
6230.66375  2.680431E-14
6238.945515  2.866179E-14
6247.22728  3.026439E-14
6255.509045  3.189841E-14
6263.79081  3.331895E-14
6272.07257500001  3.389526E-14
6280.35434  3.427178E-14
6288.636105  3.501050E-14
6296.91787  3.633413E-14
6305.199635  3.796007E-14
6313.4814  3.884890E-14
6321.76316500001  3.903360E-14
6330.04493  3.979976E-14
6338.326695  4.010617E-14
6346.60846  4.051731E-14
6354.890225  4.038254E-14
6363.17199  4.007565E-14
6371.453755  4.013467E-14
6379.73552  3.995461E-14
6388.017285  3.951682E-14
6396.29905  3.974427E-14
6404.580815  3.985697E-14
6412.86258  3.914266E-14
6421.144345  3.876411E-14
6429.42611  3.835655E-14
6437.707875  3.721443E-14
6445.98964  3.707895E-14
6454.271405  3.660715E-14
6462.55317  3.562820E-14
6470.834935  3.460743E-14
6479.1167  3.427419E-14
6487.398465  3.443625E-14
6495.68023  3.380410E-14
6503.961995  3.396742E-14
6512.24376  3.329241E-14
6520.525525  3.272954E-14
6528.80729  3.338003E-14
6537.08905500001  3.321008E-14
6545.37082  3.232953E-14
6553.652585  3.242190E-14
6561.93435  3.334092E-14
6570.216115  3.673669E-14
6578.49788  3.778271E-14
6586.77964500001  3.326009E-14
6595.06141  3.274353E-14
6603.343175  3.157380E-14
6611.62494  3.057530E-14
6619.906705  2.953762E-14
6628.18847  2.907935E-14
6636.47023500001  2.911180E-14
6644.752  2.873657E-14
6653.033765  2.862801E-14
6661.31553000001  2.805034E-14
6669.597295  2.779393E-14
6677.87906  2.734240E-14
6686.16082500001  2.733804E-14
6694.44259  2.750430E-14
6702.724355  2.718406E-14
6711.00612000001  2.721459E-14
6719.287885  2.699753E-14
6727.56965  2.750468E-14
6735.85141500001  2.711684E-14
6744.13318  2.706753E-14
6752.414945  2.621101E-14
6760.69671000001  2.577052E-14
6768.978475  2.543082E-14
6777.26024  2.516284E-14
6785.542005  2.503122E-14
6793.82377  2.482013E-14
6802.10553500001  2.496383E-14
6810.38730000001  2.451547E-14
6818.669065  2.462985E-14
6826.95083  2.441702E-14
6835.232595  2.449201E-14
6843.51436  2.441820E-14
6851.796125  2.443352E-14
6860.07789000001  2.330161E-14
6868.359655  1.997287E-14
6876.64142  1.987051E-14
6884.923185  2.100812E-14
6893.20495  2.105002E-14
6901.486715  2.131442E-14
6909.76848000001  2.220159E-14
6918.050245  2.248617E-14
6926.33201  2.243595E-14
6934.61377500001  2.229610E-14
6942.89554  2.193774E-14
6951.177305  2.240434E-14
6959.45907000001  2.302308E-14
6967.740835  2.323365E-14
6976.0226  2.393844E-14
6984.30436500001  2.351647E-14
6992.58613  2.288186E-14
7000.867895  2.328484E-14
7009.14966  2.327583E-14
7017.431425  2.321985E-14
7025.71319  2.305092E-14
7033.99495500001  2.345995E-14
7042.27672  2.339964E-14
7050.558485  2.344012E-14
7058.84025000001  2.334800E-14
7067.12201500001  2.356346E-14
7075.40378  2.331338E-14
7083.68554500001  2.322187E-14
7091.96731  2.359868E-14
7100.249075  2.324543E-14
7108.53084  2.346613E-14
7116.81260500001  2.365510E-14
7125.09437  2.365844E-14
7133.37613500001  2.357662E-14
7141.6579  2.331908E-14
7149.939665  2.342057E-14
7158.22143  2.285036E-14
7166.50319500001  2.125918E-14
7174.78496  1.967240E-14
7183.06672500001  1.933363E-14
7191.34849  1.874440E-14
7199.63025500001  1.911648E-14
7207.91202  2.046436E-14
7216.193785  2.199812E-14
7224.47555  2.176359E-14
7232.75731500001  2.030372E-14
7241.03908  2.003396E-14
7249.32084500001  1.974586E-14
7257.60261  1.996010E-14
7265.884375  2.036536E-14
7274.16614  1.979431E-14
7282.44790500001  1.988102E-14
7290.72967  2.013183E-14
7299.01143500001  2.032077E-14
7307.2932  2.025064E-14
7315.574965  2.024184E-14
7323.85673  2.077367E-14
7332.13849500001  2.109506E-14
7340.42026  2.088326E-14
7348.70202500001  2.023422E-14
7356.98379  2.006398E-14
7365.265555  2.026167E-14
7373.54732  2.023681E-14
7381.82908500001  1.982153E-14
7390.11085  1.958036E-14
7398.39261500001  1.941811E-14
7406.67438  1.938137E-14
7414.956145  1.927931E-14
7423.23791  1.915474E-14
7431.519675  1.866711E-14
7439.80144000001  1.894727E-14
7448.08320500001  1.846804E-14
7456.36497  1.804093E-14
7464.64673500001  1.762811E-14
7472.9285  1.678882E-14
7481.210265  1.622549E-14
7489.49203000001  1.576062E-14
7497.77379500001  1.572056E-14
7506.05556  1.527502E-14
7514.33732500001  1.475014E-14
7522.61909  1.491246E-14
7530.900855  1.583105E-14
7539.18262  1.610057E-14
7547.46438500001  1.674977E-14
7555.74615  1.724635E-14
7564.02791500001  1.784666E-14
7572.30968  1.764230E-14
7580.591445  1.744680E-14
7588.87321  1.546609E-14
7597.15497500001  8.872708E-15
7605.43674  5.948609E-15
7613.71850500001  9.350584E-15
7622.00027  1.088738E-14
7630.282035  1.011968E-14
7638.5638  1.121182E-14
7646.84556500001  1.340627E-14
7655.12733  1.579363E-14
7663.40909500001  1.791533E-14
7671.69086  1.937782E-14
7679.972625  1.995109E-14
7688.25439  2.069187E-14
7696.53615500001  2.137824E-14
7704.81792000001  2.163907E-14
7713.09968500001  2.163533E-14
7721.38145  2.158080E-14
7729.66321500001  2.149853E-14
7737.94498  1.096919E-14
