5022.64689423614  9.581426E-17
5025.6883044208  9.008416E-17
5028.72971460547  9.315103E-17
5031.77112479014  9.597802E-17
5034.8125349748  8.718648E-17
5037.85394515947  8.979768E-17
5040.89535534414  9.109679E-17
5043.93676552881  9.029903E-17
5046.97817571347  9.466320E-17
5050.01958589814  9.684316E-17
5053.06099608281  8.993281E-17
5056.10240626747  8.879689E-17
5059.14381645214  9.424492E-17
5062.18522663681  9.578284E-17
5065.22663682147  1.005431E-16
5068.26804700614  9.643096E-17
5071.30945719081  1.021280E-16
5074.35086737548  1.071644E-16
5077.39227756014  1.109934E-16
5080.43368774481  1.154372E-16
5083.47509792948  1.103144E-16
5086.51650811414  1.119335E-16
5089.55791829881  1.178828E-16
5092.59932848348  1.174941E-16
5095.64073866814  1.218560E-16
5098.68214885281  1.221807E-16
5101.72355903748  1.153218E-16
5104.76496922214  1.199165E-16
5107.80637940681  1.274431E-16
5110.84778959148  1.195894E-16
5113.88919977615  1.159667E-16
5116.93060996081  1.196012E-16
5119.97202014548  1.134643E-16
5123.01343033015  1.107441E-16
5126.05484051482  1.028635E-16
5129.09625069948  1.083312E-16
5132.13766088415  9.868589E-17
5135.17907106882  9.762207E-17
5138.22048125348  9.496723E-17
5141.26189143815  1.009074E-16
5144.30330162282  8.950486E-17
5147.34471180748  9.232995E-17
5150.38612199215  9.419026E-17
5153.42753217682  9.003719E-17
5156.46894236148  8.342127E-17
5159.51035254615  8.034214E-17
5162.55176273082  8.100921E-17
5165.59317291549  7.367639E-17
5168.63458310015  8.105471E-17
5171.67599328482  7.935704E-17
5174.71740346949  8.325728E-17
5177.75881365415  7.991078E-17
5180.80022383882  8.719516E-17
5183.84163402349  8.409805E-17
5186.88304420816  8.875634E-17
5189.92445439282  8.700784E-17
5192.96586457749  8.642558E-17
5196.00727476216  8.566443E-17
5199.04868494682  8.358107E-17
5202.09009513149  8.716342E-17
5205.13150531616  9.511082E-17
5208.17291550082  1.042205E-16
5211.21432568549  1.035337E-16
5214.25573587016  9.878891E-17
5217.29714605482  1.057431E-16
5220.33855623949  1.067618E-16
5223.37996642416  1.043717E-16
5226.42137660883  1.063426E-16
5229.46278679349  1.105201E-16
5232.50419697816  1.108600E-16
5235.54560716283  1.143844E-16
5238.58701734749  1.174133E-16
