4706.34023503077  1.810260E-15
4709.38164521543  1.835921E-15
4712.4230554001  1.768463E-15
4715.46446558477  1.764731E-15
4718.50587576944  1.696241E-15
4721.5472859541  1.687610E-15
4724.58869613877  1.761739E-15
4727.63010632344  1.687577E-15
4730.6715165081  1.627433E-15
4733.71292669277  1.552266E-15
4736.75433687744  1.597775E-15
4739.7957470621  1.706272E-15
4742.83715724677  1.654346E-15
4745.87856743144  1.606314E-15
4748.91997761611  1.685980E-15
4751.96138780077  1.679494E-15
4755.00279798544  1.616449E-15
4758.04420817011  1.590126E-15
4761.08561835477  1.654112E-15
4764.12702853944  1.660882E-15
4767.16843872411  1.506002E-15
4770.20984890877  1.523192E-15
4773.25125909344  1.516486E-15
4776.29266927811  1.444574E-15
4779.33407946277  1.517788E-15
4782.37548964744  1.492697E-15
4785.41689983211  1.530992E-15
4788.45831001678  1.491198E-15
4791.49972020144  1.480340E-15
4794.54113038611  1.469197E-15
4797.58254057078  1.450907E-15
4800.62395075545  1.359580E-15
4803.66536094011  1.357953E-15
4806.70677112478  1.408021E-15
4809.74818130945  1.349059E-15
4812.78959149411  1.381503E-15
4815.83100167878  1.395434E-15
4818.87241186345  1.368975E-15
4821.91382204811  1.403178E-15
4824.95523223278  1.407056E-15
4827.99664241745  1.387992E-15
4831.03805260212  1.431157E-15
4834.07946278678  1.463411E-15
4837.12087297145  1.435632E-15
4840.16228315612  1.494941E-15
4843.20369334078  1.572662E-15
4846.24510352545  1.509672E-15
4849.28651371012  1.494563E-15
4852.32792389478  1.551198E-15
4855.36933407945  1.594234E-15
4858.41074426412  1.600880E-15
4861.45215444879  1.502840E-15
4864.49356463345  1.481450E-15
4867.53497481812  1.552260E-15
4870.57638500279  1.563637E-15
4873.61779518745  1.579232E-15
4876.65920537212  1.536683E-15
4879.70061555679  1.417076E-15
4882.74202574145  1.450413E-15
4885.78343592612  1.458850E-15
4888.82484611079  1.271502E-15
4891.86625629545  1.331362E-15
4894.90766648012  1.359182E-15
4897.94907666479  1.355700E-15
4900.99048684946  1.368611E-15
4904.03189703412  1.331814E-15
4907.07330721879  1.241474E-15
4910.11471740346  1.264776E-15
4913.15612758812  1.295203E-15
4916.19753777279  1.311280E-15
4919.23894795746  1.212670E-15
4922.28035814212  1.269792E-15
4925.32176832679  1.291512E-15
4928.36317851146  1.379077E-15
4931.40458869613  1.317527E-15
4934.44599888079  1.256449E-15
4937.48740906546  1.340181E-15
4940.52881925013  1.395280E-15
4943.57022943479  1.397559E-15
4946.61163961946  1.409880E-15
4949.65304980413  1.446154E-15
4952.69445998879  1.427172E-15
4955.73587017346  1.446981E-15
4958.77728035813  1.422978E-15
4961.81869054279  1.376658E-15
4964.86010072746  1.339971E-15
4967.90151091213  1.327208E-15
4970.9429210968  1.334099E-15
4973.98433128146  1.331678E-15
4977.02574146613  1.305497E-15
4980.0671516508  1.275589E-15
4983.10856183546  1.293198E-15
4986.14997202013  1.324445E-15
4989.1913822048  1.322619E-15
4992.23279238947  1.322236E-15
4995.27420257413  1.294798E-15
4998.3156127588  1.318043E-15
5001.35702294347  1.243114E-15
5004.39843312813  1.195892E-15
5007.4398433128  1.270302E-15
5010.48125349747  1.244758E-15
5013.52266368214  1.156490E-15
5016.5640738668  1.188935E-15
5019.60548405147  1.263851E-15
5022.64689423614  1.225296E-15
5025.6883044208  1.311701E-15
5028.72971460547  1.250391E-15
5031.77112479014  1.153396E-15
5034.8125349748  1.144031E-15
5037.85394515947  1.225226E-15
5040.89535534414  1.209388E-15
5043.93676552881  1.203748E-15
5046.97817571347  1.226461E-15
5050.01958589814  1.240905E-15
5053.06099608281  1.270396E-15
5056.10240626747  1.223991E-15
5059.14381645214  1.232355E-15
5062.18522663681  1.237016E-15
5065.22663682147  1.247476E-15
5068.26804700614  1.280917E-15
5071.30945719081  1.276167E-15
5074.35086737548  1.276491E-15
5077.39227756014  1.292228E-15
5080.43368774481  1.282113E-15
5083.47509792948  1.280124E-15
5086.51650811414  1.325478E-15
5089.55791829881  1.358691E-15
5092.59932848348  1.378135E-15
5095.64073866814  1.428444E-15
5098.68214885281  1.462986E-15
5101.72355903748  1.436350E-15
5104.76496922214  1.439843E-15
5107.80637940681  1.448605E-15
5110.84778959148  1.493730E-15
5113.88919977615  1.571259E-15
5116.93060996081  1.594386E-15
5119.97202014548  1.602142E-15
5123.01343033015  1.637783E-15
5126.05484051482  1.670758E-15
5129.09625069948  1.680848E-15
5132.13766088415  1.699933E-15
5135.17907106882  1.686894E-15
5138.22048125348  1.671871E-15
