#wavelength spec_sum
5134.16 6921.43
5137.06 6913.55
5139.95 7256.31
5142.84 7242.65
5145.73 7174.83
5148.62 7381.73
5151.52 7511.27
5154.41 6546.81
5157.3 7034.16
5160.19 7024.68
5163.08 7351.29
5165.98 7732.29
5168.87 7007.64
5171.76 7351.41
5174.65 7216.97
5177.54 7756.51
5180.43 7465.8
5183.32 7472.24
5186.21 7465.21
5189.11 7797.14
5192 7260.13
5194.89 6986.83
5197.78 7389.71
5200.67 7945.94
5203.56 7340.59
5206.45 7612.99
5209.34 7370.56
5212.23 7767.21
5215.12 7633.23
5218.01 7416.16
5220.9 7238.82
5223.79 7073.14
5226.68 8329.31
5229.57 7504.42
5232.46 7770.09
5235.35 7791.57
5238.24 8266.15
5241.13 7658.6
5244.02 8158.12
5246.91 7923.25
5249.8 7587.28
5252.69 7547.95
5255.58 7978.17
5258.47 8416.93
5261.36 8329.75
5264.25 8155.14
5267.14 8728.21
5270.03 8003.57
5272.91 8132.73
5275.8 8160.39
5278.69 8508.93
5281.58 8386.97
5284.47 8424.93
5287.36 7651.68
5290.25 8517.47
5293.13 8315.23
5296.02 7637.32
5298.91 8498.19
5301.8 8615.75
5304.69 7975.2
5307.58 7217.92
5310.46 7273.04
5313.35 7832.94
5316.24 7581.45
5319.13 8040.18
5322.02 7345.99
5324.9 7473.96
5327.79 7652.07
5330.68 7823.89
5333.57 7643.8
5336.45 7381.13
5339.34 7974.15
5342.23 7729.96
5345.11 7280.04
5348 7398.4
5350.89 6996.58
5353.77 7535.61
5356.66 7480.03
5359.55 7674.41
5362.43 8119.35
5365.32 7527.63
5368.21 7815.06
5371.09 7672.87
5373.98 7259.17
5376.87 7922.63
5379.75 7523.87
5382.64 7335.71
5385.53 7950.49
5388.41 7640.09
5391.3 7778.15
5394.18 7964.29
5397.07 7997.04
5399.95 7829.93
5402.84 7244.09
5405.72 7559.24
5408.61 7647.35
5411.5 7213.91
5414.38 7235.79
5417.27 7055.93
5420.15 6851.39
5423.04 6607.13
5425.92 6761.71
5428.81 6614.69
5431.69 6512.03
5434.58 6013.5
5437.46 5910.28
5440.34 6708.31
5443.23 6097.94
5446.11 5706.24
5449 5662.64
5451.88 6055.27
5454.77 6002.28
5457.65 5588.5
5460.53 6075.68
5463.42 5951.31
5466.3 5678.32
5469.18 6291.29
5472.07 5916.53
5474.95 6448.91
5477.84 5988.12
5480.72 6373.75
5483.6 6074.38
5486.48 6373.82
5489.37 6089.52
5492.25 6555.24
5495.13 5840.78
5498.02 6357.21
5500.9 6346.82
5503.78 6393.95
5506.66 5954.32
5509.55 5932.95
5512.43 6129.46
5515.31 6018.71
5518.19 6524.04
5521.08 5686.73
5523.96 6266.65
5526.84 6131.04
5529.72 6415.94
5532.6 6249.5
5535.49 6039.94
5538.37 5682.46
5541.25 6345.16
5544.13 6482.95
5547.01 5998.19
5549.89 5580.8
5552.77 6155.26
5555.66 6174.99
5558.54 6744.94
5561.42 6251.39
5564.3 6396.37
5567.18 5196.85
5570.06 6209.01
5572.94 7035.84
5575.82 8578.83
5578.7 5849.68
5581.58 5693.4
5584.46 5907.58
5587.34 6182.24
5590.22 5935.44
5593.1 5814.32
5595.98 6031.41
5598.86 5319.71
5601.74 5759.11
5604.62 5937.51
5607.5 5611.95
5610.38 6508.26
5613.26 5836.84
5616.14 5359.17
5619.02 5581.74
5621.9 5813.66
5624.78 4924.23
5627.65 5485.5
5630.53 5313.6
5633.41 5027.57
5636.29 5264.17
5639.17 5816.68
5642.05 5617.9
5644.93 4961.38
5647.8 5227.62
