4861.45215444879  8.976925E-17
4864.49356463345  8.770703E-17
4867.53497481812  8.483809E-17
4870.57638500279  8.417917E-17
4873.61779518745  8.270227E-17
4876.65920537212  8.221523E-17
4879.70061555679  7.933469E-17
4882.74202574145  7.358267E-17
4885.78343592612  7.130113E-17
4888.82484611079  7.227533E-17
4891.86625629545  6.871334E-17
4894.90766648012  6.697838E-17
4897.94907666479  6.755691E-17
4900.99048684946  6.610794E-17
4904.03189703412  6.783551E-17
4907.07330721879  6.450057E-17
4910.11471740346  6.009923E-17
4913.15612758812  6.294766E-17
4916.19753777279  5.765395E-17
4919.23894795746  5.673012E-17
4922.28035814212  5.597036E-17
4925.32176832679  5.432165E-17
4928.36317851146  5.182325E-17
4931.40458869613  5.144695E-17
4934.44599888079  4.994759E-17
4937.48740906546  4.714534E-17
4940.52881925013  4.722363E-17
4943.57022943479  4.946740E-17
4946.61163961946  4.261504E-17
4949.65304980413  4.113954E-17
4952.69445998879  3.473276E-17
4955.73587017346  3.537748E-17
4958.77728035813  3.392193E-17
4961.81869054279  3.887238E-17
4964.86010072746  3.588966E-17
4967.90151091213  3.387358E-17
4970.9429210968  3.558560E-17
4973.98433128146  3.529930E-17
4977.02574146613  3.436456E-17
4980.0671516508  3.252294E-17
4983.10856183546  3.855085E-17
4986.14997202013  3.603486E-17
4989.1913822048  3.391996E-17
4992.23279238947  4.034812E-17
4995.27420257413  3.733003E-17
4998.3156127588  3.596777E-17
5001.35702294347  3.759910E-17
5004.39843312813  3.977514E-17
5007.4398433128  3.893555E-17
5010.48125349747  4.118281E-17
5013.52266368214  3.993724E-17
5016.5640738668  3.677512E-17
5019.60548405147  4.221491E-17
5022.64689423614  4.481856E-17
5025.6883044208  4.262712E-17
5028.72971460547  4.083059E-17
5031.77112479014  4.634232E-17
5034.8125349748  4.788646E-17
5037.85394515947  4.059667E-17
5040.89535534414  4.389393E-17
5043.93676552881  4.607792E-17
5046.97817571347  4.384747E-17
5050.01958589814  4.630767E-17
5053.06099608281  4.333396E-17
5056.10240626747  4.621920E-17
5059.14381645214  4.292430E-17
5062.18522663681  4.183827E-17
5065.22663682147  4.829199E-17
5068.26804700614  4.784099E-17
5071.30945719081  4.730533E-17
5074.35086737548  4.914292E-17
5077.39227756014  4.960733E-17
5080.43368774481  4.906751E-17
5083.47509792948  5.197094E-17
5086.51650811414  4.603297E-17
5089.55791829881  4.542127E-17
5092.59932848348  5.069963E-17
5095.64073866814  5.055381E-17
5098.68214885281  4.731661E-17
5101.72355903748  4.697567E-17
5104.76496922214  4.805459E-17
5107.80637940681  5.270293E-17
5110.84778959148  5.283601E-17
5113.88919977615  4.743217E-17
5116.93060996081  4.360304E-17
5119.97202014548  5.007120E-17
5123.01343033015  5.068964E-17
5126.05484051482  4.284391E-17
5129.09625069948  4.455114E-17
5132.13766088415  4.927070E-17
5135.17907106882  4.654064E-17
5138.22048125348  4.716639E-17
5141.26189143815  4.826028E-17
5144.30330162282  4.532954E-17
5147.34471180748  4.910485E-17
5150.38612199215  4.848451E-17
5153.42753217682  4.956296E-17
5156.46894236148  5.071387E-17
5159.51035254615  5.316049E-17
5162.55176273082  4.746926E-17
5165.59317291549  4.608805E-17
5168.63458310015  4.759093E-17
5171.67599328482  4.941317E-17
5174.71740346949  5.044327E-17
5177.75881365415  5.137233E-17
5180.80022383882  4.696702E-17
5183.84163402349  4.631166E-17
5186.88304420816  4.698058E-17
5189.92445439282  4.165452E-17
5192.96586457749  4.284108E-17
5196.00727476216  4.350967E-17
5199.04868494682  4.335246E-17
5202.09009513149  3.955711E-17
5205.13150531616  3.889020E-17
5208.17291550082  3.775184E-17
5211.21432568549  3.914527E-17
5214.25573587016  4.164076E-17
5217.29714605482  3.922450E-17
5220.33855623949  4.114767E-17
5223.37996642416  3.926717E-17
5226.42137660883  4.163408E-17
5229.46278679349  4.042426E-17
5232.50419697816  4.115090E-17
5235.54560716283  3.956538E-17
5238.58701734749  3.564565E-17
5241.62842753216  4.096766E-17
5244.66983771683  4.028322E-17
5247.7112479015  4.311864E-17
5250.75265808616  4.453458E-17
5253.79406827083  4.560097E-17
5256.8354784555  4.402045E-17
5259.87688864016  4.503006E-17
5262.91829882483  4.595948E-17
5265.9597090095  4.302075E-17
5269.00111919416  4.747833E-17
5272.04252937883  5.085770E-17
5275.0839395635  4.680758E-17
5278.12534974816  5.173174E-17
5281.16675993283  4.787948E-17
5284.2081701175  4.782164E-17
5287.24958030216  4.711596E-17
5290.29099048683  5.011911E-17
5293.3324006715  5.493406E-17
5296.37381085617  5.465740E-17
5299.41522104083  4.947376E-17
5302.4566312255  5.556780E-17
5305.49804141017  5.684758E-17
5308.53945159484  6.104848E-17
5311.5808617795  5.551346E-17
5314.62227196417  5.638842E-17
5317.66368214884  5.591728E-17
5320.7050923335  6.007324E-17
5323.74650251817  5.708291E-17
5326.78791270284  5.250987E-17
5329.8293228875  5.817709E-17
5332.87073307217  5.969592E-17
5335.91214325684  5.989945E-17
5338.9535534415  5.782115E-17
5341.99496362617  5.860684E-17
5345.03637381084  5.864161E-17
5348.07778399551  5.809235E-17
5351.11919418017  5.789437E-17
5354.16060436484  5.639940E-17
5357.20201454951  5.846914E-17
5360.24342473417  5.812082E-17
5363.28483491884  5.427983E-17
5366.32624510351  5.931534E-17
5369.36765528817  5.803152E-17
5372.40906547284  5.911320E-17
5375.45047565751  6.522626E-17
5378.49188584218  6.132810E-17
5381.53329602684  6.701406E-17
5384.57470621151  5.742721E-17
5387.61611639618  6.034822E-17
5390.65752658084  5.860122E-17
5393.69893676551  5.937440E-17
5396.74034695018  5.812351E-17
5399.78175713485  6.036534E-17
5402.82316731951  6.195640E-17
5405.86457750418  6.346362E-17
5408.90598768885  6.504475E-17
5411.94739787351  6.684281E-17
5414.98880805818  6.254980E-17
5418.03021824285  7.099233E-17
5421.07162842751  6.879437E-17
5424.11303861218  6.951317E-17
5427.15444879685  7.170977E-17
5430.19585898152  7.031463E-17
