4410.217  1.689461E-15
4411.217  1.656826E-15
4412.217  1.695459E-15
4413.217  1.723511E-15
4414.217  1.697100E-15
4415.217  1.670622E-15
4416.217  1.643820E-15
4417.217  1.623773E-15
4418.217  1.634100E-15
4419.217  1.640214E-15
4420.217  1.628545E-15
4421.217  1.624670E-15
4422.217  1.651733E-15
4423.217  1.678167E-15
4424.217  1.702246E-15
4425.217  1.713927E-15
4426.217  1.681773E-15
4427.217  1.650030E-15
4428.217  1.619665E-15
4429.217  1.598986E-15
4430.217  1.609020E-15
4431.217  1.622956E-15
4432.217  1.648636E-15
4433.217  1.673684E-15
4434.217  1.696925E-15
4435.217  1.715027E-15
4436.217  1.719141E-15
4437.217  1.717757E-15
4438.217  1.702116E-15
4439.217  1.687681E-15
4440.217  1.676228E-15
4441.217  1.677244E-15
4442.217  1.707694E-15
4443.217  1.706386E-15
4444.217  1.633456E-15
4445.217  1.609688E-15
4446.217  1.691922E-15
4447.217  1.743461E-15
4448.217  1.731676E-15
4449.217  1.724296E-15
4450.217  1.725616E-15
4451.217  1.728150E-15
4452.217  1.732979E-15
4453.217  1.735209E-15
4454.217  1.732722E-15
4455.217  1.744960E-15
4456.217  1.782809E-15
4457.217  1.801820E-15
4458.217  1.789387E-15
4459.217  1.791832E-15
4460.217  1.818114E-15
4461.217  1.826526E-15
4462.217  1.807444E-15
4463.217  1.782422E-15
4464.217  1.748623E-15
4465.217  1.744765E-15
4466.217  1.783431E-15
4467.217  1.801179E-15
4468.217  1.790374E-15
4469.217  1.775860E-15
4470.217  1.756477E-15
4471.217  1.761867E-15
4472.217  1.798516E-15
4473.217  1.813171E-15
4474.217  1.801134E-15
4475.217  1.793982E-15
4476.217  1.792533E-15
4477.217  1.774388E-15
4478.217  1.737491E-15
4479.217  1.741898E-15
4480.217  1.790935E-15
