BITPIX  =                    8  /  8-bit ASCII characters                       
NAXIS   =                    1  /  Number of Image Dimensions                   
NAXIS1  =                 1788  /  Length of axis                               
ORIGIN  = 'NOAO-IRAF: WTEXTIMAGE'  /
IRAF-MAX=                   0.  /  Max image pixel (out of date)                
IRAF-MIN=                   0.  /  Min image pixel (out of date)                
IRAF-B/P=                   32  /  Image bits per pixel                         
IRAFTYPE= 'REAL FLOATING     '  /  Image datatype                              
OBJECT  = 'SN2008FU          '  /                                              
FILENAME= 'SN08FU_B01_DUP_WF_20OCT08'  /
4767.16843872411  6.328750E-17
4770.20984890877  7.284838E-17
4773.25125909344  7.231141E-17
4776.29266927811  8.688098E-17
4779.33407946277  8.947486E-17
4782.37548964744  8.388437E-17
4785.41689983211  9.999483E-17
4788.45831001678  1.074491E-16
4791.49972020144  1.059138E-16
4794.54113038611  9.466958E-17
4797.58254057078  9.048358E-17
4800.62395075545  1.037340E-16
4803.66536094011  9.400090E-17
4806.70677112478  8.288376E-17
4809.74818130945  9.612346E-17
4812.78959149411  9.304901E-17
4815.83100167878  1.005088E-16
4818.87241186345  1.116330E-16
4821.91382204811  1.067468E-16
4824.95523223278  1.007112E-16
4827.99664241745  1.079068E-16
4831.03805260212  1.048677E-16
4834.07946278678  9.923316E-17
4837.12087297145  1.034147E-16
4840.16228315612  1.052257E-16
4843.20369334078  1.034006E-16
4846.24510352545  1.034348E-16
4849.28651371012  1.179531E-16
4852.32792389478  1.153171E-16
4855.36933407945  1.116935E-16
4858.41074426412  1.122469E-16
4861.45215444879  1.113988E-16
4864.49356463345  1.030574E-16
4867.53497481812  1.100809E-16
4870.57638500279  1.167523E-16
4873.61779518745  1.051178E-16
4876.65920537212  1.078474E-16
4879.70061555679  1.071626E-16
4882.74202574145  1.002502E-16
4885.78343592612  1.093293E-16
4888.82484611079  1.009391E-16
4891.86625629545  1.011742E-16
4894.90766648012  9.917704E-17
4897.94907666479  9.183900E-17
4900.99048684946  8.357100E-17
4904.03189703412  9.074959E-17
4907.07330721879  9.841820E-17
4910.11471740346  9.194385E-17
4913.15612758812  8.642535E-17
4916.19753777279  9.017223E-17
4919.23894795746  8.380778E-17
4922.28035814212  7.644650E-17
4925.32176832679  8.195154E-17
4928.36317851146  7.082384E-17
4931.40458869613  6.455709E-17
4934.44599888079  7.494826E-17
4937.48740906546  7.296130E-17
4940.52881925013  7.549676E-17
4943.57022943479  6.331690E-17
4946.61163961946  6.324402E-17
4949.65304980413  6.193772E-17
4952.69445998879  6.292632E-17
4955.73587017346  6.527978E-17
4958.77728035813  7.132527E-17
4961.81869054279  8.064902E-17
4964.86010072746  6.955295E-17
4967.90151091213  6.880516E-17
4970.9429210968  6.832673E-17
4973.98433128146  7.990680E-17
4977.02574146613  7.659967E-17
4980.0671516508  6.732835E-17
4983.10856183546  5.661493E-17
4986.14997202013  4.824145E-17
4989.1913822048  6.595582E-17
4992.23279238947  6.774643E-17
4995.27420257413  7.286691E-17
4998.3156127588  7.120491E-17
5001.35702294347  6.068299E-17
5004.39843312813  6.758999E-17
5007.4398433128  7.282008E-17
5010.48125349747  7.322948E-17
5013.52266368214  7.264294E-17
5016.5640738668  6.256176E-17
5019.60548405147  6.432761E-17
5022.64689423614  6.659075E-17
5025.6883044208  7.722473E-17
5028.72971460547  7.259956E-17
5031.77112479014  7.653439E-17
5034.8125349748  7.777625E-17
5037.85394515947  7.671626E-17
5040.89535534414  7.920100E-17
5043.93676552881  7.430626E-17
5046.97817571347  8.159983E-17
5050.01958589814  8.682895E-17
5053.06099608281  6.652985E-17
5056.10240626747  7.035073E-17
5059.14381645214  7.474499E-17
5062.18522663681  8.100170E-17
5065.22663682147  8.875346E-17
5068.26804700614  9.305870E-17
5071.30945719081  9.215573E-17
5074.35086737548  8.372843E-17
5077.39227756014  8.359924E-17
5080.43368774481  6.844074E-17
5083.47509792948  8.335454E-17
5086.51650811414  8.411346E-17
5089.55791829881  7.779943E-17
5092.59932848348  8.202892E-17
5095.64073866814  9.023480E-17
5098.68214885281  8.910682E-17
5101.72355903748  8.437028E-17
5104.76496922214  7.165839E-17
5107.80637940681  5.991550E-17
5110.84778959148  5.192648E-17
5113.88919977615  5.584414E-17
5116.93060996081  9.359894E-17
5119.97202014548  1.007281E-16
5123.01343033015  1.007893E-16
5126.05484051482  8.318720E-17
5129.09625069948  8.468751E-17
5132.13766088415  8.638847E-17
5135.17907106882  9.777930E-17
5138.22048125348  8.413137E-17
5141.26189143815  8.480264E-17
5144.30330162282  8.814463E-17
5147.34471180748  8.884204E-17
5150.38612199215  8.110393E-17
5153.42753217682  1.054523E-16
5156.46894236148  1.033062E-16
5159.51035254615  9.330383E-17
5162.55176273082  1.041554E-16
5165.59317291549  1.163454E-16
5168.63458310015  1.047726E-16
5171.67599328482  1.038653E-16
5174.71740346949  8.577652E-17
5177.75881365415  9.174929E-17
5180.80022383882  8.975750E-17
5183.84163402349  1.106189E-16
5186.88304420816  1.127097E-16
5189.92445439282  1.188712E-16
5192.96586457749  1.183801E-16
5196.00727476216  1.101559E-16
5199.04868494682  1.077291E-16
5202.09009513149  1.124398E-16
5205.13150531616  1.214686E-16
5208.17291550082  9.960492E-17
5211.21432568549  9.494544E-17
5214.25573587016  9.417945E-17
5217.29714605482  1.085046E-16
5220.33855623949  1.117162E-16
5223.37996642416  9.888993E-17
5226.42137660883  9.551728E-17
5229.46278679349  9.780768E-17
5232.50419697816  9.496597E-17
5235.54560716283  9.876427E-17
5238.58701734749  1.028195E-16
5241.62842753216  9.442028E-17
5244.66983771683  7.904330E-17
5247.7112479015  8.637783E-17
5250.75265808616  8.447978E-17
5253.79406827083  7.601124E-17
5256.8354784555  7.682840E-17
5259.87688864016  7.713930E-17
5262.91829882483  6.652235E-17
5265.9597090095  6.296991E-17
5269.00111919416  9.502941E-17
5272.04252937883  9.917591E-17
5275.0839395635  7.852948E-17
5278.12534974816  7.898654E-17
5281.16675993283  7.703362E-17
5284.2081701175  7.657992E-17
5287.24958030216  7.474813E-17
5290.29099048683  6.720623E-17
5293.3324006715  7.128273E-17
5296.37381085617  7.570635E-17
5299.41522104083  8.243318E-17
5302.4566312255  6.822320E-17
5305.49804141017  6.165508E-17
5308.53945159484  7.236326E-17
5311.5808617795  7.748806E-17
5314.62227196417  6.990109E-17
5317.66368214884  7.170414E-17
5320.7050923335  7.658093E-17
5323.74650251817  7.680240E-17
5326.78791270284  6.401060E-17
5329.8293228875  6.300936E-17
5332.87073307217  7.405052E-17
5335.91214325684  7.867800E-17
5338.9535534415  6.699954E-17
5341.99496362617  7.356878E-17
5345.03637381084  7.729342E-17
5348.07778399551  7.600854E-17
5351.11919418017  7.155840E-17
5354.16060436484  6.344888E-17
5357.20201454951  6.942873E-17
5360.24342473417  7.270487E-17
5363.28483491884  6.454845E-17
5366.32624510351  6.019239E-17
5369.36765528817  6.876937E-17
5372.40906547284  6.553810E-17
5375.45047565751  6.863615E-17
5378.49188584218  7.169563E-17
5381.53329602684  6.787253E-17
5384.57470621151  6.554637E-17
5387.61611639618  7.312811E-17
5390.65752658084  7.569214E-17
5393.69893676551  6.278433E-17
5396.74034695018  6.626400E-17
5399.78175713485  7.254939E-17
5402.82316731951  8.668273E-17
5405.86457750418  6.965097E-17
5408.90598768885  6.483092E-17
5411.94739787351  7.366000E-17
5414.98880805818  6.038543E-17
5418.03021824285  6.794799E-17
5421.07162842751  7.429870E-17
5424.11303861218  6.592329E-17
5427.15444879685  7.528148E-17
5430.19585898152  7.588351E-17
5433.23726916618  7.494153E-17
5436.27867935085  6.415023E-17
5439.32008953552  5.348229E-17
5442.36149972018  6.071970E-17
5445.40290990485  6.251816E-17
5448.44432008952  7.500561E-17
5451.48573027418  7.054994E-17
5454.52714045885  6.094102E-17
5457.56855064352  6.961989E-17
5460.60996082819  7.258277E-17
5463.65137101285  7.186094E-17
5466.69278119752  8.550684E-17
5469.73419138219  8.176308E-17
5472.77560156685  8.031337E-17
5475.81701175152  8.220009E-17
5478.85842193619  8.056231E-17
5481.89983212085  7.097540E-17
5484.94124230552  8.106849E-17
5487.98265249019  8.052801E-17
5491.02406267486  7.482207E-17
5494.06547285952  8.209493E-17
5497.10688304419  8.686046E-17
5500.14829322886  8.450967E-17
5503.18970341352  7.976374E-17
5506.23111359819  9.421268E-17
5509.27252378286  9.626085E-17
5512.31393396752  9.575474E-17
5515.35534415219  8.079160E-17
5518.39675433686  8.403382E-17
5521.43816452153  1.029754E-16
5524.47957470619  9.941881E-17
5527.52098489086  8.578971E-17
5530.56239507553  8.886469E-17
5533.60380526019  9.936935E-17
5536.64521544486  9.966364E-17
5539.68662562953  9.775705E-17
5542.72803581419  9.733090E-17
5545.76944599886  1.066747E-16
5548.81085618353  1.105900E-16
5551.85226636819  1.029260E-16
5554.89367655286  1.027401E-16
5557.93508673753  1.091667E-16
5560.9764969222  1.113476E-16
5564.01790710686  1.031903E-16
5567.05931729153  1.009770E-16
5570.1007274762  1.042622E-16
5573.14213766086  9.221435E-17
5576.18354784553  1.066673E-16
5579.2249580302  1.094052E-16
5582.26636821487  1.056981E-16
5585.30777839953  1.071933E-16
5588.3491885842  1.062478E-16
5591.39059876887  1.091162E-16
5594.43200895353  1.059794E-16
5597.4734191382  1.085112E-16
5600.51482932287  1.165497E-16
5603.55623950754  1.026537E-16
5606.5976496922  9.876828E-17
5609.63905987687  9.649276E-17
5612.68047006154  1.074075E-16
5615.7218802462  1.157706E-16
5618.76329043087  9.914316E-17
5621.80470061554  9.143383E-17
5624.8461108002  1.033594E-16
5627.88752098487  1.032037E-16
5630.92893116954  1.081184E-16
5633.9703413542  1.055850E-16
5637.01175153887  9.888807E-17
5640.05316172354  1.104224E-16
5643.09457190821  1.086848E-16
5646.13598209287  1.051009E-16
5649.17739227754  1.097799E-16
5652.21880246221  1.065369E-16
5655.26021264687  1.023971E-16
5658.30162283154  1.152039E-16
5661.34303301621  1.052077E-16
5664.38444320087  1.098360E-16
5667.42585338554  1.076913E-16
5670.46726357021  1.061294E-16
5673.50867375488  1.087453E-16
5676.55008393954  1.040403E-16
5679.59149412421  1.091127E-16
5682.63290430888  1.137015E-16
5685.67431449354  1.139672E-16
5688.71572467821  1.103176E-16
5691.75713486288  1.162052E-16
5694.79854504755  1.140364E-16
5697.83995523221  1.305531E-16
5700.88136541688  1.236732E-16
5703.92277560154  1.193888E-16
5706.96418578621  1.276663E-16
5710.00559597088  1.191863E-16
5713.04700615555  1.302298E-16
5716.08841634021  1.328642E-16
5719.12982652488  1.342764E-16
5722.17123670955  1.309910E-16
5725.21264689421  1.378729E-16
5728.25405707888  1.395145E-16
5731.29546726355  1.387277E-16
5734.33687744822  1.542539E-16
5737.37828763288  1.588862E-16
5740.41969781755  1.422544E-16
5743.46110800222  1.412986E-16
5746.50251818688  1.445300E-16
5749.54392837155  1.391113E-16
5752.58533855622  1.377037E-16
5755.62674874089  1.458713E-16
5758.66815892555  1.504993E-16
5761.70956911022  1.433896E-16
5764.75097929488  1.474298E-16
5767.79238947955  1.484522E-16
5770.83379966422  1.545483E-16
5773.87520984889  1.632821E-16
5776.91662003355  1.514102E-16
5779.95803021822  1.530851E-16
5782.99944040289  1.606112E-16
5786.04085058755  1.588757E-16
5789.08226077222  1.553324E-16
5792.12367095689  1.591023E-16
5795.16508114156  1.514380E-16
5798.20649132622  1.496483E-16
5801.24790151089  1.528932E-16
5804.28931169556  1.549020E-16
5807.33072188022  1.646160E-16
5810.37213206489  1.652790E-16
5813.41354224956  1.607703E-16
5816.45495243422  1.592419E-16
5819.49636261889  1.629235E-16
5822.53777280356  1.592335E-16
5825.57918298823  1.591397E-16
5828.62059317289  1.687369E-16
5831.66200335756  1.568863E-16
5834.70341354223  1.582764E-16
5837.74482372689  1.657358E-16
5840.78623391156  1.535519E-16
5843.82764409623  1.519756E-16
5846.86905428089  1.622084E-16
5849.91046446556  1.640212E-16
5852.95187465023  1.627285E-16
5855.99328483489  1.694295E-16
5859.03469501956  1.715644E-16
5862.07610520423  1.595466E-16
5865.1175153889  1.616302E-16
5868.15892557356  1.515202E-16
5871.20033575823  1.525335E-16
5874.2417459429  1.507757E-16
5877.28315612756  1.410928E-16
5880.32456631223  1.398971E-16
5883.3659764969  1.479986E-16
5886.40738668157  1.507694E-16
5889.44879686623  1.543704E-16
5892.4902070509  1.358540E-16
5895.53161723557  1.392852E-16
5898.57302742023  1.453159E-16
5901.6144376049  1.411135E-16
5904.65584778957  1.432971E-16
5907.69725797423  1.413990E-16
5910.7386681589  1.393955E-16
5913.78007834357  1.514285E-16
5916.82148852824  1.454232E-16
5919.8628987129  1.353487E-16
5922.90430889757  1.306621E-16
5925.94571908224  1.302442E-16
5928.9871292669  1.347870E-16
5932.02853945157  1.332970E-16
5935.06994963624  1.331243E-16
5938.11135982091  1.324628E-16
5941.15277000557  1.260032E-16
5944.19418019024  1.234156E-16
5947.23559037491  1.272568E-16
5950.27700055957  1.260730E-16
