# B-channel spectrum:  tLSQ12gdj_20121112_Gr11_Free_slit1.5_1_f.asci
# R-channel spectrum:  tLSQ12gdj_20121112_Gr16_OG530_slit1.5_1_f.asci
# Errors estimated from scatter of spectrum
4646.34952 1.266303e-15 1.661001e-17
4650.41640 1.260814e-15 1.572703e-17
4654.48328 1.252666e-15 1.504387e-17
4658.55016 1.271904e-15 1.460591e-17
4662.61703 1.289809e-15 1.444549e-17
4666.68391 1.296735e-15 1.458148e-17
4670.75079 1.310691e-15 1.501989e-17
4674.81767 1.347250e-15 1.575424e-17
4678.88455 1.342190e-15 1.676516e-17
4682.95143 1.329740e-15 1.801959e-17
4687.01831 1.365645e-15 1.947051e-17
4691.08519 1.362960e-15 2.105795e-17
4695.15207 1.378964e-15 2.271137e-17
4699.21894 1.384634e-15 2.435350e-17
4703.28582 1.412270e-15 2.590492e-17
4707.35270 1.386501e-15 2.728936e-17
4711.41958 1.417295e-15 2.843921e-17
4715.48646 1.430218e-15 2.930076e-17
4719.55334 1.408123e-15 2.983891e-17
4723.62022 1.410386e-15 3.004066e-17
4727.68710 1.430364e-15 2.991692e-17
4731.75397 1.372898e-15 2.950214e-17
4735.82085 1.383214e-15 2.885133e-17
4739.88773 1.359932e-15 2.803414e-17
4743.95461 1.330153e-15 2.712635e-17
4748.02149 1.318185e-15 2.619956e-17
4752.08837 1.286548e-15 2.531118e-17
4756.15525 1.273324e-15 2.449728e-17
4760.22213 1.239269e-15 2.377129e-17
4764.28900 1.252907e-15 2.312933e-17
4768.35588 1.210377e-15 2.256085e-17
4772.42276 1.207426e-15 2.206089e-17
4776.48964 1.202315e-15 2.163924e-17
4780.55652 1.208450e-15 2.132299e-17
4784.62340 1.203786e-15 2.115051e-17
4788.69028 1.209766e-15 2.115762e-17
4792.75716 1.202608e-15 2.136058e-17
4796.82404 1.208338e-15 2.174294e-17
4800.89091 1.199811e-15 2.225259e-17
4804.95779 1.202367e-15 2.281011e-17
4809.02467 1.206264e-15 2.332422e-17
4813.09155 1.184686e-15 2.370822e-17
4817.15843 1.122573e-15 2.389340e-17
4821.22531 1.149538e-15 2.383769e-17
4825.29219 1.191009e-15 2.352967e-17
4829.35907 1.200646e-15 2.298852e-17
4833.42594 1.205301e-15 2.226044e-17
4837.49282 1.198452e-15 2.141188e-17
4841.55970 1.186888e-15 2.051999e-17
4845.62658 1.184858e-15 1.966069e-17
4849.69346 1.166213e-15 1.889595e-17
4853.76034 1.189022e-15 1.826299e-17
4857.82722 1.198770e-15 1.776888e-17
4861.89410 1.178663e-15 1.739287e-17
4865.96097 1.186957e-15 1.709559e-17
4870.02785 1.136598e-15 1.683142e-17
4874.09473 1.191552e-15 1.655948e-17
4878.16161 1.154184e-15 1.625064e-17
4882.22849 1.164208e-15 1.589005e-17
4886.29537 1.151612e-15 1.547622e-17
4890.36225 1.150063e-15 1.501819e-17
4894.42913 1.179652e-15 1.453184e-17
4898.49601 1.143601e-15 1.403649e-17
4902.56288 1.157196e-15 1.355218e-17
4906.62976 1.134679e-15 1.309768e-17
4910.69664 1.160672e-15 1.268904e-17
4914.76352 1.154855e-15 1.233836e-17
4918.83040 1.164810e-15 1.205232e-17
4922.89728 1.160147e-15 1.183083e-17
4926.96416 1.144350e-15 1.166616e-17
4931.03104 1.141046e-15 1.154324e-17
4935.09791 1.129981e-15 1.144155e-17
4939.16479 1.139179e-15 1.133841e-17
4943.23167 1.144685e-15 1.121293e-17
4947.29855 1.158374e-15 1.104984e-17
4951.36543 1.120973e-15 1.084242e-17
4955.43231 1.118848e-15 1.059410e-17
4959.49919 1.125593e-15 1.031834e-17
4963.56607 1.111715e-15 1.003692e-17
4967.63294 1.100745e-15 9.776525e-18
4971.69982 1.105597e-15 9.564097e-18
4975.76670 1.102440e-15 9.421693e-18
4979.83358 1.086041e-15 9.362261e-18
4983.90046 1.091676e-15 9.387656e-18
4987.96734 1.075578e-15 9.489516e-18
4992.03422 1.071164e-15 9.652340e-18
4996.10110 1.056632e-15 9.857221e-18
5000.16797 1.029521e-15 1.008483e-17
5004.23485 1.035329e-15 1.031699e-17
5008.30173 1.043236e-15 1.053717e-17
5012.36861 1.028531e-15 1.073034e-17
5016.43549 1.021648e-15 1.088301e-17
5020.50237 1.008114e-15 1.098383e-17
5024.56925 9.934873e-16 1.102479e-17
5028.63613 1.021287e-15 1.100287e-17
5032.70301 1.014515e-15 1.092173e-17
5036.76988 9.978667e-16 1.079306e-17
5040.83676 9.946660e-16 1.063687e-17
5044.90364 9.816654e-16 1.048054e-17
5048.97052 9.755565e-16 1.035586e-17
5053.03740 9.641476e-16 1.029422e-17
5057.10428 9.416310e-16 1.032040e-17
5061.17116 9.489616e-16 1.044670e-17
5065.23804 9.332334e-16 1.066947e-17
5069.30491 9.120590e-16 1.096950e-17
5073.37179 9.145628e-16 1.131599e-17
5077.43867 9.203791e-16 1.167235e-17
5081.50555 9.066815e-16 1.200202e-17
5085.57243 8.901360e-16 1.227329e-17
5089.63931 8.719987e-16 1.246270e-17
5093.70619 8.700456e-16 1.255729e-17
5097.77307 8.828226e-16 1.255570e-17
5101.83994 8.629817e-16 1.246846e-17
5105.90682 8.856017e-16 1.231736e-17
5109.97370 8.814373e-16 1.213391e-17
5114.04058 8.642379e-16 1.195681e-17
5118.10746 8.665438e-16 1.182819e-17
5122.17434 8.800779e-16 1.178865e-17
5126.24122 8.661652e-16 1.187131e-17
5130.30810 8.865481e-16 1.209613e-17
5134.37498 8.788819e-16 1.246618e-17
5138.44185 8.646681e-16 1.296704e-17
5142.50873 8.691250e-16 1.356952e-17
5146.57561 8.620611e-16 1.423433e-17
5150.64249 8.511968e-16 1.491734e-17
5154.70937 8.396632e-16 1.557443e-17
5158.77625 8.357535e-16 1.616545e-17
5162.84313 8.532979e-16 1.665738e-17
5166.91001 8.476374e-16 1.702637e-17
5170.97688 8.231383e-16 1.725894e-17
5175.04376 8.532386e-16 1.735199e-17
5179.11064 8.784345e-16 1.731189e-17
5183.17752 8.544991e-16 1.715257e-17
5187.24440 8.741325e-16 1.689305e-17
5191.31128 9.055716e-16 1.655486e-17
5195.37816 8.784948e-16 1.615956e-17
5199.44504 8.829775e-16 1.572700e-17
5203.51191 9.179011e-16 1.527426e-17
5207.57879 9.249564e-16 1.481527e-17
5211.64567 9.104414e-16 1.436085e-17
5215.71255 8.982582e-16 1.391895e-17
5219.77943 9.187099e-16 1.349474e-17
5223.84631 9.216869e-16 1.309069e-17
5227.91319 9.131259e-16 1.270681e-17
5231.98007 9.450381e-16 1.234113e-17
5236.04695 9.171267e-16 1.199068e-17
5240.11382 9.362621e-16 1.165277e-17
5244.18070 9.120848e-16 1.132641e-17
5248.24758 9.271074e-16 1.101349e-17
5252.31446 9.252661e-16 1.071939e-17
5256.38134 9.445907e-16 1.045283e-17
5260.44822 9.397381e-16 1.022480e-17
5264.51510 9.466127e-16 1.004661e-17
5268.58198 9.234593e-16 9.927171e-18
5272.64885 9.363137e-16 9.870358e-18
5276.71573 9.411835e-16 9.873002e-18
5280.78261 9.314954e-16 9.924436e-18
5284.84949 9.381119e-16 1.000784e-17
5288.91637 9.469826e-16 1.010300e-17
5292.98325 9.252833e-16 1.018981e-17
5297.05013 9.206372e-16 1.025140e-17
5301.11701 9.519386e-16 1.027646e-17
5305.18388 9.341971e-16 1.026021e-17
5309.25076 9.284410e-16 1.020405e-17
5313.31764 9.312889e-16 1.011388e-17
5317.38452 9.155866e-16 9.997713e-18
5321.45140 9.036185e-16 9.862915e-18
5325.51828 9.185894e-16 9.714058e-18
5329.58516 9.123601e-16 9.551888e-18
5333.65204 9.099854e-16 9.373783e-18
5337.71891 9.168600e-16 9.175536e-18
5341.78579 9.192175e-16 8.953894e-18
5345.85267 8.977505e-16 8.709090e-18
5349.91955 8.866169e-16 8.446689e-18
5353.98643 8.851887e-16 8.178255e-18
5358.05331 8.792347e-16 7.920584e-18
5362.12019 8.838809e-16 7.693462e-18
5366.18707 8.675763e-16 7.516189e-18
5370.25395 8.602964e-16 7.403567e-18
5374.32082 8.578417e-16 7.362547e-18
5378.38770 8.460680e-16 7.390809e-18
5382.45458 8.286105e-16 7.477916e-18
5386.52146 8.299467e-16 7.608573e-18
5390.58834 8.360478e-16 7.766703e-18
5394.65522 8.246466e-16 7.939062e-18
5398.72210 8.094889e-16 8.117628e-18
5402.78898 7.988019e-16 8.300482e-18
5406.85585 7.962964e-16 8.491180e-18
5410.92273 8.040004e-16 8.696754e-18
5414.98961 7.970475e-16 8.924676e-18
5419.05649 8.065601e-16 9.179462e-18
5423.12337 7.868518e-16 9.459831e-18
5427.19025 7.781204e-16 9.757341e-18
5431.25713 7.800994e-16 1.005698e-17
5435.32401 7.835840e-16 1.033957e-17
5439.39088 7.757148e-16 1.058538e-17
5443.45776 7.579217e-16 1.077819e-17
5447.52464 7.933031e-16 1.090905e-17
5451.59152 7.853831e-16 1.097948e-17
5455.65840 7.641596e-16 1.100354e-17
5459.72528 7.562232e-16 1.100850e-17
5463.79216 7.495457e-16 1.103323e-17
5467.85904 7.486629e-16 1.112355e-17
5471.92592 7.575138e-16 1.132408e-17
5475.99279 7.648901e-16 1.166783e-17
5480.05967 7.569666e-16 1.216677e-17
5484.12655 7.406457e-16 1.280730e-17
5488.19343 7.399600e-16 1.355231e-17
5492.26031 7.454803e-16 1.434801e-17
5496.32719 7.313671e-16 1.513247e-17
5500.39407 7.543579e-16 1.584350e-17
5504.46095 7.604788e-16 1.642498e-17
5508.52782 7.603119e-16 1.683168e-17
5512.59470 7.239075e-16 1.703288e-17
5516.66158 6.943234e-16 1.701474e-17
5520.72846 7.358825e-16 1.678135e-17
5524.79534 7.425661e-16 1.635454e-17
5528.86222 7.438154e-16 1.577196e-17
5532.92910 7.565132e-16 1.508364e-17
5536.99598 7.474756e-16 1.434671e-17
5541.06285 7.489064e-16 1.361850e-17
5545.12973 7.394205e-16 1.294862e-17
5549.19661 7.392949e-16 1.237130e-17
5553.26349 7.310531e-16 1.190037e-17
5557.33037 7.423854e-16 1.152894e-17
5561.39725 7.651723e-16 1.123447e-17
5565.46413 7.367335e-16 1.098738e-17
