#OBJECT = AT2020swy
#MJD-OBS = 59160.381296
#DATE-OBS = 2020-11-07T09:09:04
#EXPTIME = 2020.000000
#AIRMASS = 1.895000
#
#TELESCOPE = UH88
#INSTRUMENT = SNIFS
#FLUXCAL = RELATIVE
#WL FL ERR
#[Ang] [erg/s/cm2/A] [erg/s/cm2/A]
4184.040000 8.857904e-17 2.704671e-34
4186.420000 6.973974e-17 2.600012e-34
4188.800000 5.389014e-17 2.600671e-34
4191.180000 5.945414e-17 2.644047e-34
4193.560000 6.064342e-17 2.649700e-34
4195.940000 5.039732e-17 2.619640e-34
4198.320000 1.519571e-17 2.507957e-34
4200.700000 2.993001e-17 2.546458e-34
4203.080000 1.421247e-17 2.516350e-34
4205.460000 1.251702e-17 2.505943e-34
4207.840000 4.746000e-17 2.555682e-34
4210.220000 5.123406e-17 2.579171e-34
4212.600000 5.541069e-17 2.573520e-34
4214.980000 5.709594e-17 2.558804e-34
4217.360000 8.118768e-17 2.615411e-34
4219.740000 7.212935e-17 2.623128e-34
4222.120000 4.942767e-17 2.535078e-34
4224.500000 5.400344e-17 2.477746e-34
4226.880000 3.474711e-17 2.426722e-34
4229.260000 4.128454e-17 2.501503e-34
4231.640000 5.064221e-17 2.559814e-34
4234.020000 1.099667e-17 2.439755e-34
4236.400000 3.403583e-17 2.443502e-34
4238.780000 6.263608e-17 2.480800e-34
4241.160000 3.742970e-17 2.449670e-34
4243.540000 3.621501e-17 2.464668e-34
4245.920000 3.855794e-17 2.424518e-34
4248.300000 4.694737e-17 2.372111e-34
4250.680000 3.112106e-17 2.391723e-34
4253.060000 4.063918e-17 2.405863e-34
4255.440000 5.796966e-17 2.429466e-34
4257.820000 4.606537e-17 2.393995e-34
4260.200000 4.077491e-17 2.370450e-34
4262.580000 1.918050e-17 2.335870e-34
4264.960000 4.068743e-17 2.358775e-34
4267.340000 5.046441e-17 2.322554e-34
4269.720000 3.929550e-17 2.275926e-34
4272.100000 3.035531e-17 2.244274e-34
4274.480000 3.100872e-17 2.255022e-34
4276.860000 3.946050e-17 2.283949e-34
4279.240000 4.013613e-17 2.273934e-34
4281.620000 2.309682e-17 2.227848e-34
4284.000000 1.192858e-17 2.228433e-34
4286.380000 2.293452e-17 2.212334e-34
4288.760000 3.584792e-17 2.198842e-34
4291.140000 2.790267e-17 2.204377e-34
4293.520000 1.435204e-17 2.195887e-34
4295.900000 2.041265e-17 2.163967e-34
4298.280000 7.311042e-18 2.056459e-34
4300.660000 2.611492e-17 2.095937e-34
4303.040000 3.379923e-17 2.103935e-34
4305.420000 3.119642e-17 2.159670e-34
4307.800000 1.845315e-17 2.081871e-34
4310.180000 2.016073e-17 2.098054e-34
4312.560000 1.008032e-17 2.107075e-34
4314.940000 4.891222e-17 2.235536e-34
4317.320000 3.210811e-17 2.261118e-34
4319.700000 3.943351e-17 2.273841e-34
4322.080000 3.621928e-17 2.224954e-34
4324.460000 4.269318e-17 2.240642e-34
4326.840000 4.533296e-17 2.234849e-34
4329.220000 5.251611e-17 2.243005e-34
4331.600000 6.072803e-17 2.289922e-34
4333.980000 4.365585e-17 2.284951e-34
4336.360000 2.335301e-17 2.219163e-34
4338.740000 3.473836e-17 2.220928e-34
4341.120000 3.793429e-17 2.214605e-34
4343.500000 4.969648e-17 2.249371e-34
4345.880000 4.502767e-17 2.291317e-34
4348.260000 4.209739e-17 2.291183e-34
4350.640000 2.739824e-17 2.232868e-34
4353.020000 4.824573e-17 2.253175e-34
4355.400000 3.543197e-17 2.248362e-34
4357.780000 4.377896e-17 2.297020e-34
4360.160000 7.263533e-17 2.360144e-34
4362.540000 4.760915e-17 2.273642e-34
4364.920000 1.069686e-17 2.206601e-34
4367.300000 2.988900e-17 2.254399e-34
4369.680000 2.798338e-17 2.207809e-34
4372.060000 2.721043e-17 2.186407e-34
4374.440000 5.506227e-17 2.246466e-34
4376.820000 5.990849e-17 2.249897e-34
4379.200000 5.439922e-17 2.231066e-34
4381.580000 6.323254e-17 2.205985e-34
4383.960000 5.402669e-17 2.134237e-34
4386.340000 5.735670e-17 2.139393e-34
4388.720000 4.965384e-17 2.131072e-34
4391.100000 6.259644e-17 2.165380e-34
4393.480000 5.564727e-17 2.164986e-34
