5554.12202  1.213015E-14
5562.40324  1.234100E-14
5570.68446  1.254850E-14
5578.96568  1.269019E-14
5587.2469  1.231856E-14
5595.52812  1.217004E-14
5603.80934  1.234237E-14
5612.09056  1.197067E-14
5620.37178  1.186313E-14
5628.653  1.162858E-14
5636.93422  1.173929E-14
5645.21544  1.151855E-14
5653.49666  1.099070E-14
5661.77788  1.102247E-14
5670.0591  1.088001E-14
5678.34032  1.040718E-14
5686.62154  1.008911E-14
5694.90276  1.019157E-14
5703.18398  9.779211E-15
5711.4652  9.768075E-15
5719.74642  9.413519E-15
5728.02764  9.544946E-15
5736.30886  9.531414E-15
5744.59008  9.120738E-15
5752.8713  9.137647E-15
5761.15252  8.794032E-15
5769.43374  8.834403E-15
5777.71496  8.905156E-15
5785.99618  8.665679E-15
5794.2774  9.058524E-15
5802.55862  9.182181E-15
5810.83984  9.345057E-15
5819.12106  9.736595E-15
5827.40228  1.033677E-14
5835.6835  1.076787E-14
5843.96472  1.105597E-14
5852.24594  1.157083E-14
5860.52716  1.191940E-14
5868.80838  1.250895E-14
5877.0896  1.247630E-14
5885.37082  1.246558E-14
5893.65204  1.266526E-14
5901.93326  1.278837E-14
5910.21448  1.287906E-14
5918.4957  1.264312E-14
5926.77692  1.272904E-14
5935.05814  1.271959E-14
5943.33936  1.232326E-14
5951.62058  1.213240E-14
5959.9018  1.218413E-14
5968.18302  1.193251E-14
5976.46424  1.172870E-14
5984.74546  1.167565E-14
5993.02668  1.132331E-14
6001.3079  1.116893E-14
6009.58912  1.118687E-14
6017.87034  1.087515E-14
6026.15156  1.072095E-14
6034.43278  1.031098E-14
6042.714  1.008419E-14
6050.99522  9.428604E-15
6059.27644  8.942454E-15
6067.55766  8.147177E-15
6075.83888  7.624034E-15
6084.1201  6.766272E-15
6092.40132  6.110411E-15
6100.68254  5.373987E-15
6108.96376  4.869469E-15
6117.24498  4.392292E-15
6125.5262  4.052575E-15
6133.80742  3.807341E-15
6142.08864  3.612923E-15
6150.36986  3.501284E-15
6158.65108  3.674147E-15
6166.9323  3.800265E-15
6175.21352  3.848197E-15
6183.49474  4.003494E-15
6191.77596  4.219650E-15
6200.05718  4.442490E-15
6208.3384  4.711711E-15
6216.61962  5.037601E-15
6224.90084  5.487240E-15
6233.18206  5.791988E-15
6241.46328  6.202881E-15
6249.7445  6.666635E-15
6258.02572  7.217616E-15
6266.30694  7.659497E-15
6274.58816  7.873701E-15
6282.86938  7.998275E-15
6291.1506  8.432498E-15
6299.43182  8.738905E-15
6307.71304  8.968466E-15
6315.99426  9.128220E-15
6324.27548  9.224285E-15
6332.5567  9.254758E-15
6340.83792  9.421453E-15
6349.11914  9.505219E-15
6357.40036  9.460892E-15
6365.68158  9.634634E-15
6373.9628  9.481834E-15
6382.24402  9.396433E-15
6390.52524  9.518848E-15
6398.80646  9.629054E-15
6407.08768  9.467863E-15
6415.3689  9.431725E-15
6423.65012  9.411788E-15
6431.93134  9.447454E-15
6440.21256  9.493552E-15
6448.49378  9.399450E-15
6456.775  9.625176E-15
6465.05622  9.476125E-15
6473.33744  9.344750E-15
6481.61866  9.329295E-15
6489.89988  9.418921E-15
6498.1811  9.440940E-15
6506.46232  9.318990E-15
6514.74354  9.340061E-15
6523.02476  9.274741E-15
6531.30598  9.149172E-15
6539.5872  9.055607E-15
6547.86842  8.796280E-15
6556.14964  8.661257E-15
6564.43086  8.536320E-15
6572.71208  8.252016E-15
6580.9933  8.176828E-15
6589.27452  7.906484E-15
6597.55574  7.868427E-15
6605.83696  7.666167E-15
6614.11818  7.491968E-15
6622.3994  7.247919E-15
6630.68062  7.081973E-15
6638.96184  6.776018E-15
6647.24306  6.688812E-15
6655.52428  6.475325E-15
6663.8055  6.219545E-15
6672.08672  6.222106E-15
6680.36794  6.135891E-15
6688.64916  5.981055E-15
6696.93038  5.814623E-15
6705.2116  5.650856E-15
6713.49282  5.586251E-15
6721.77404  5.517931E-15
6730.05526  5.375311E-15
6738.33648  5.403013E-15
6746.6177  5.255379E-15
