OBJECT  = 'PS1-10afx' / Name of the object observed                
OBSERVER= 'Quimby,Oguri,Moriya' 
TELESCOP= 'Keck I  '                                                            
SLITNAME= 'long_1.0' / 1.0 arcsec wide slit                                             
DICHNAME= '560     '                                                            
GRISNAME= '400/3400'                                                            
GRANAME = '400/8500'                                                            
GRANGLE =          25.87923241                                                  
WAVELEN =        7848.05908203                                                  
REDFILT = 'Clear   '                                                            
UTC     = '06:01:33.76'                                                         
MJD-OBS = '56542.251085'                                                        
ST      = '18:45:35.99'                                                         
DATE-OBS= '2013-09-07'                                                          
AIRMASS =           1.25 / Median over observation
RA      = '22:11:24.162'                                                         
DEC     = '+00:09:43.49'                                                         
EQUINOX =        2000.00000000                                                  
TOTEXPB = 22022.0 / seconds total exposure (blue channel)
TOTEXPR = 22876.3 / seconds total exposure (red channel)
DATE_BEG= '2013-09-07T06:01:33' / start of the first exposure
DATE_END= '2013-09-07T13:42:21' / end of the last exposure
REDUCEBY= Quimby

#     wav (A)    flux (flam)      eflux           skyflux
      3528.94   3.5669717e-19   9.3709381e-19   1.6594939e-17
      3529.94   4.2609265e-19   9.4833815e-19   1.7050358e-17
      3530.94   2.1626869e-19   9.3752656e-19   1.6744116e-17
      3531.94   4.7234435e-20   9.4020157e-19   1.6893315e-17
      3532.94   6.1305254e-19   9.4305688e-19   1.6961004e-17
      3533.94   3.5076367e-19   9.4333666e-19   1.7032521e-17
      3534.94   4.8163189e-19   9.4397265e-19   1.6994357e-17
      3535.94   3.9775312e-19   9.4531960e-19   1.7241693e-17
      3536.94   2.0668849e-19   9.7160831e-19   1.8598240e-17
      3537.94   3.2080602e-19   9.7693519e-19   1.9650234e-17
      3538.94   3.4725259e-19   1.0120390e-18   2.2270506e-17
      3539.94  -1.0475776e-19   1.0494846e-18   2.5359887e-17
      3540.94  -2.2284483e-19   1.0944031e-18   2.9044118e-17
      3541.94   6.6080100e-19   1.1389128e-18   3.2634098e-17
      3542.94   8.8368641e-19   1.1745936e-18   3.5465732e-17
      3543.94   6.5936551e-20   1.1894276e-18   3.7085496e-17
      3544.94   8.7736762e-19   1.2008560e-18   3.8198561e-17
      3545.94   3.3234339e-19   1.1979528e-18   3.8101025e-17
      3546.94   1.6751848e-19   1.1857098e-18   3.7173825e-17
      3547.94   4.0529522e-19   1.1615599e-18   3.5329762e-17
      3548.94   3.5045086e-19   1.1536144e-18   3.4480821e-17
      3549.94   5.9064276e-19   1.1510468e-18   3.4188451e-17
      3550.94   4.5471374e-19   1.1498042e-18   3.4119284e-17
      3551.94   4.5080408e-19   1.1582992e-18   3.4917310e-17
      3552.94   5.8596465e-21   1.1581266e-18   3.5140785e-17
      3553.94   3.8727032e-19   1.1598964e-18   3.5283256e-17
      3554.94   6.0614219e-19   1.1694181e-18   3.6074553e-17
      3555.94   3.2866088e-19   1.1637094e-18   3.5670843e-17
      3556.94   5.2301170e-19   1.1485216e-18   3.4435539e-17
      3557.94   5.2457624e-19   1.1370091e-18   3.3351763e-17
