BITPIX  =                    8  /  8-bit ASCII characters                       
NAXIS   =                    1  /  Number of Image Dimensions                   
NAXIS1  =                  573  /  Length of axis                               
ORIGIN  = 'NOAO-IRAF: WTEXTIMAGE'  /
IRAF-MAX=                   0.  /  Max image pixel (out of date)                
IRAF-MIN=                   0.  /  Min image pixel (out of date)                
IRAF-B/P=                   32  /  Image bits per pixel                         
IRAFTYPE= 'REAL FLOATING     '  /  Image datatype                              
OBJECT  = 'SN1989B NAR - APERTURE 1'  /
FILENAME= 'CTIO_60_RED_06FEB89'  /
8820.6034446  4.015924E-14
8828.900806  3.917919E-14
8837.1981674  3.867949E-14
8845.4955288  3.805595E-14
8853.7928902  3.682499E-14
8862.0902516  3.625904E-14
8870.387613  3.525988E-14
8878.6849744  3.435223E-14
8886.9823358  3.346376E-14
8895.2796972  3.343389E-14
8903.5770586  3.256629E-14
8911.87442  2.961554E-14
8920.1717814  3.051008E-14
8928.4691428  3.185086E-14
8936.7665042  3.141482E-14
8945.0638656  3.006628E-14
8953.361227  2.969645E-14
8961.6585884  2.934442E-14
8969.9559498  2.729558E-14
8978.2533112  2.783171E-14
8986.5506726  2.714890E-14
8994.848034  2.640973E-14
9003.1453954  2.780745E-14
9011.4427568  2.825103E-14
9019.7401182  2.949900E-14
9028.0374796  3.087208E-14
9036.334841  3.253198E-14
9044.6322024  3.339563E-14
9052.9295638  3.320202E-14
9061.2269252  3.211187E-14
9069.5242866  2.992668E-14
9077.821648  2.843955E-14
9086.1190094  2.845696E-14
9094.4163708  2.892965E-14
9102.7137322  2.851136E-14
9111.0110936  2.864526E-14
9119.308455  2.943889E-14
9127.6058164  2.842004E-14
9135.9031778  2.796340E-14
9144.2005392  2.845368E-14
9152.4979006  2.844394E-14
9160.795262  2.810898E-14
9169.0926234  2.915417E-14
9177.38998480001  2.930186E-14
9185.6873462  3.014796E-14
9193.98470760001  3.227154E-14
9202.282069  3.277643E-14
9210.5794304  3.311362E-14
9218.8767918  3.247999E-14
