BITPIX  =                    8  /  8-bit ASCII characters                       
NAXIS   =                    1  /  Number of Image Dimensions                   
NAXIS1  =                 1788  /  Length of axis                               
ORIGIN  = 'NOAO-IRAF: WTEXTIMAGE'  /
IRAF-MAX=                   0.  /  Max image pixel (out of date)                
IRAF-MIN=                   0.  /  Min image pixel (out of date)                
IRAF-B/P=                   32  /  Image bits per pixel                         
IRAFTYPE= 'REAL FLOATING     '  /  Image datatype                              
OBJECT  = 'SN2008HJ          '  /                                              
FILENAME= 'SN08HJ_B01_DUP_WF_27DEC08'  /
5491.02406267486  2.734819E-16
5494.06547285952  2.746481E-16
5497.10688304419  2.766044E-16
5500.14829322886  2.755490E-16
5503.18970341352  2.731245E-16
5506.23111359819  2.785732E-16
5509.27252378286  2.712809E-16
5512.31393396752  2.729724E-16
5515.35534415219  2.872543E-16
5518.39675433686  2.752070E-16
5521.43816452153  2.739289E-16
5524.47957470619  2.715548E-16
5527.52098489086  2.609129E-16
5530.56239507553  2.618761E-16
5533.60380526019  2.586338E-16
5536.64521544486  2.521687E-16
5539.68662562953  2.608667E-16
5542.72803581419  2.616130E-16
5545.76944599886  2.613163E-16
5548.81085618353  2.592110E-16
5551.85226636819  2.608898E-16
5554.89367655286  2.638324E-16
5557.93508673753  2.587823E-16
5560.9764969222  2.598646E-16
5564.01790710686  2.667682E-16
5567.05931729153  2.606589E-16
5570.1007274762  2.793648E-16
5573.14213766086  2.770620E-16
5576.18354784553  2.841323E-16
5579.2249580302  2.741013E-16
5582.26636821487  2.911673E-16
5585.30777839953  2.929381E-16
5588.3491885842  2.840318E-16
5591.39059876887  2.791903E-16
5594.43200895353  2.904073E-16
5597.4734191382  2.915491E-16
5600.51482932287  2.934182E-16
5603.55623950754  3.003023E-16
5606.5976496922  3.008003E-16
5609.63905987687  3.103910E-16
5612.68047006154  3.220749E-16
5615.7218802462  3.239070E-16
5618.76329043087  3.229837E-16
5621.80470061554  3.181391E-16
5624.8461108002  3.197229E-16
5627.88752098487  3.070703E-16
5630.92893116954  3.249196E-16
5633.9703413542  3.254995E-16
5637.01175153887  3.247779E-16
5640.05316172354  3.231483E-16
5643.09457190821  3.328818E-16
5646.13598209287  3.311247E-16
5649.17739227754  3.565239E-16
5652.21880246221  3.460464E-16
5655.26021264687  3.355697E-16
5658.30162283154  3.373361E-16
5661.34303301621  3.411397E-16
5664.38444320087  3.347220E-16
5667.42585338554  3.372417E-16
5670.46726357021  3.205261E-16
5673.50867375488  3.389000E-16
5676.55008393954  3.429016E-16
5679.59149412421  3.309387E-16
5682.63290430888  3.315896E-16
5685.67431449354  3.343533E-16
5688.71572467821  3.215011E-16
5691.75713486288  3.309010E-16
5694.79854504755  3.339750E-16
5697.83995523221  3.384679E-16
5700.88136541688  3.232196E-16
5703.92277560154  3.284758E-16
5706.96418578621  3.251464E-16
5710.00559597088  3.179567E-16
5713.04700615555  3.181293E-16
5716.08841634021  3.296267E-16
5719.12982652488  3.238065E-16
5722.17123670955  3.107794E-16
5725.21264689421  3.039991E-16
5728.25405707888  3.133359E-16
5731.29546726355  3.195897E-16
5734.33687744822  3.075139E-16
5737.37828763288  2.997331E-16
5740.41969781755  3.054863E-16
5743.46110800222  3.128659E-16
5746.50251818688  3.051797E-16
5749.54392837155  2.915093E-16
5752.58533855622  2.887388E-16
5755.62674874089  2.878458E-16
5758.66815892555  2.892239E-16
5761.70956911022  2.960652E-16
5764.75097929488  2.937091E-16
5767.79238947955  2.931514E-16
5770.83379966422  2.935342E-16
5773.87520984889  2.829791E-16
5776.91662003355  2.777344E-16
5779.95803021822  2.780476E-16
5782.99944040289  2.792309E-16
5786.04085058755  2.680961E-16
5789.08226077222  2.734138E-16
5792.12367095689  2.736317E-16
5795.16508114156  2.661975E-16
5798.20649132622  2.501197E-16
5801.24790151089  2.448434E-16
5804.28931169556  2.587952E-16
5807.33072188022  2.498459E-16
5810.37213206489  2.445713E-16
5813.41354224956  2.461394E-16
5816.45495243422  2.406038E-16
5819.49636261889  2.326104E-16
5822.53777280356  2.292124E-16
5825.57918298823  2.385978E-16
5828.62059317289  2.290565E-16
5831.66200335756  2.248950E-16
