9321.47202500001  1.914097E-15
9329.76445  2.191100E-15
9338.056875  2.442608E-15
9346.3493  2.030764E-15
9354.641725  1.708851E-15
9362.93415  1.328775E-15
9371.22657500001  2.055390E-15
9379.519  1.741420E-15
9387.811425  1.971491E-15
9396.10385  1.666128E-15
9404.39627500001  3.006385E-15
9412.6887  1.724723E-15
9420.981125  1.891800E-15
9429.27355000001  3.017960E-15
9437.565975  2.834659E-15
9445.8584  3.166186E-15
9454.150825  3.429538E-15
9462.44325  2.274078E-15
9470.735675  2.849003E-15
9479.0281  1.535172E-15
9487.32052500001  1.509061E-15
9495.61295000001  3.355871E-15
9503.905375  1.990724E-15
9512.19780000001  2.310697E-15
9520.49022500001  1.630402E-15
9528.78265000001  2.215483E-15
9537.075075  2.165973E-15
9545.3675  3.203471E-15
9553.659925  2.176341E-15
9561.95235  2.116225E-15
9570.244775  4.076301E-15
9578.5372  2.911962E-15
9586.829625  1.481615E-15
9595.12205000001  1.524963E-15
9603.414475  9.865834E-16
9611.70690000001  1.832647E-15
9619.99932500001  3.112423E-15
9628.29175  3.296166E-15
9636.58417500001  9.161316E-16
9644.8766  1.701551E-15
9653.169025  2.549519E-15
9661.46145  4.088244E-15
9669.753875  9.223603E-16
9678.04630000001  1.838082E-15
9686.338725  2.773852E-15
9694.63115  1.857955E-15
9702.923575  2.967003E-15
9711.216  1.835157E-15
9719.508425  1.408801E-15
9727.80085  1.861162E-15
9736.09327500001  1.636505E-15
9744.38570000001  2.084462E-15
9752.678125  2.977840E-15
9760.97055000001  9.672186E-16
9769.26297500001  5.836751E-16
9777.5554  9.990093E-16
9785.84782500001  1.111337E-15
9794.14025  3.839567E-15
9802.432675  3.180542E-15
9810.7251  1.186497E-15
9819.01752500001  1.116920E-15
9827.30995  1.847682E-15
9835.602375  2.403146E-15
9843.8948  2.528059E-15
9852.18722500001  5.968274E-16
9860.47965000001  2.100869E-15
9868.772075  1.617505E-15
9877.0645  1.279922E-15
9885.356925  1.779786E-15
9893.64935000001  4.223483E-16
9901.941775  4.942962E-16
9910.23420000001  1.269426E-15
9918.526625  1.253850E-15
9926.81905000001  1.238283E-15
9935.11147500001  1.222721E-15
9943.40390000001  1.207168E-15
9951.696325  1.191626E-15
9959.98875  1.176094E-15
