# wave-obs	 flux	 eflux
4954.07 45.0019 0.785962 
4956.78 44.1199 0.780827 
4959.49 44.9067 0.786091 
4962.2 45.163 0.782088 
4964.91 44.704 0.785558 
4967.62 43.9921 0.781759 
4970.34 44.531 0.789135 
4973.05 45.9961 0.794955 
4975.76 46.3929 0.796153 
4978.47 44.3056 0.778631 
4981.18 44.5389 0.788052 
4983.9 44.8566 0.785944 
4986.61 44.9401 0.787269 
4989.32 43.9084 0.787692 
4992.03 44.3716 0.783344 
4994.75 45.9625 0.796743 
4997.46 43.7801 0.777751 
5000.18 45.1294 0.790455 
5002.89 43.7794 0.781809 
5005.6 45.4073 0.79375 
5008.32 43.7724 0.783477 
5011.03 44.4611 0.788537 
5013.75 43.7503 0.784266 
5016.46 44.201 0.787211 
5019.18 44.0053 0.785708 
5021.89 43.0815 0.784147 
5024.61 44.2219 0.79056 
5027.33 44.1339 0.78653 
5030.04 41.6436 0.776327 
5032.76 43.5221 0.784615 
5035.47 43.0852 0.783462 
5038.19 42.1328 0.775978 
