BITPIX  =                    8  /  8-bit ASCII characters                       
NAXIS   =                    1  /  Number of Image Dimensions                   
NAXIS1  =                  572  /  Length of axis                               
ORIGIN  = 'NOAO-IRAF: WTEXTIMAGE'  /
IRAF-MAX=                   0.  /  Max image pixel (out of date)                
IRAF-MIN=                   0.  /  Min image pixel (out of date)                
IRAF-B/P=                   32  /  Image bits per pixel                         
IRAFTYPE= 'REAL FLOATING     '  /  Image datatype                              
OBJECT  = 'SN 1991T NARROW - APERTURE 1'  /
FILENAME= 'CTIO_60_25APR91.RED'  /
9046.71462  1.691722E-14
9055.013534  1.683271E-14
9063.312448  1.678898E-14
9071.611362  1.624549E-14
9079.910276  1.629962E-14
9088.20919  1.664099E-14
9096.50810400001  1.657285E-14
9104.807018  1.667199E-14
9113.105932  1.622161E-14
9121.404846  1.606105E-14
9129.70376  1.620171E-14
9138.002674  1.590919E-14
9146.301588  1.624507E-14
9154.600502  1.639348E-14
9162.899416  1.636560E-14
9171.19833  1.629919E-14
9179.497244  1.653184E-14
9187.796158  1.676209E-14
9196.095072  1.691306E-14
9204.393986  1.722324E-14
9212.6929  1.666791E-14
9220.991814  1.643714E-14
9229.290728  1.661586E-14
9237.589642  1.675005E-14
9245.888556  1.660662E-14
9254.18747  1.654658E-14
9262.486384  1.646730E-14
9270.785298  1.632242E-14
9279.084212  1.617369E-14
9287.38312600001  1.564312E-14
9295.68204  1.494913E-14
9303.980954  1.426237E-14
9312.279868  1.354842E-14
9320.578782  1.340440E-14
9328.877696  1.257424E-14
9337.17661  1.174644E-14
9345.475524  1.200116E-14
9353.774438  1.222543E-14
9362.073352  1.260790E-14
9370.372266  1.281312E-14
9378.67118  1.286119E-14
9386.970094  1.360864E-14
9395.269008  1.434110E-14
9403.567922  1.402271E-14
9411.866836  1.351539E-14
9420.16575  1.293647E-14
9428.464664  1.268842E-14
9436.763578  1.227012E-14
9445.062492  1.208357E-14
9453.361406  1.277199E-14
9461.66032  1.233834E-14
9469.959234  1.239577E-14
9478.258148  1.277348E-14
9486.557062  1.236337E-14
9494.855976  1.213666E-14
9503.15489  1.232495E-14
9511.453804  1.268601E-14
9519.752718  1.213816E-14
9528.051632  1.259217E-14
9536.350546  1.262645E-14
9544.64946  1.218692E-14
9552.948374  1.207454E-14
9561.247288  1.197452E-14
9569.546202  1.232621E-14
9577.845116  1.217062E-14
