wavelength spec_sum spec_optimal
5453.22 5.19594 8.68201
5456.1 6.59622 8.19552
5458.99 5.52873 7.23099
5461.87 5.89808 8.90317
5464.75 5.09923 7.69043
5467.64 5.61928 7.72247
5470.52 5.65125 8.4537
5473.4 6.3367 8.39411
5476.28 5.03525 7.90493
5479.17 6.14714 8.45408
5482.05 5.0429 6.63445
5484.93 6.64935 8.56879
5487.81 6.26786 8.4495
5490.7 5.88559 7.20732
5493.58 6.17307 8.98804
5496.46 5.51921 7.49555
5499.34 6.19593 8.88638
5502.22 5.59872 8.7946
5505.11 6.04309 7.9401
5507.99 6.5224 8.47019
5510.87 5.97354 9.25761
5513.75 5.14479 8.52307
5516.63 6.01299 8.66862
5519.51 6.58969 8.43763
5522.39 7.48582 8.91297
5525.28 6.41356 8.00792
5528.16 6.50326 8.80816
5531.04 6.57816 9.40807
5533.92 6.80082 9.48054
5536.8 6.22621 8.69982
5539.68 5.15861 7.91763
5542.56 5.38112 7.44246
5545.44 7.22157 9.29913
5548.32 5.77892 8.38821
5551.21 6.83546 9.37581
5554.09 4.55969 6.54717
5556.97 6.36483 8.70306
5559.85 6.43829 8.08003
5562.73 6.27266 8.17951
5565.61 5.93795 8.85117
5568.49 6.18426 8.73485
5571.37 5.69018 10.0264
5574.25 6.31745 7.48148
5577.13 8.96028 8.79562
5580.01 6.14954 7.72066
5582.89 6.27806 8.23618
5585.77 5.38937 8.55915
5588.65 5.89272 7.7643
5591.53 3.97022 6.44092
5594.41 4.49887 6.52376
5597.29 5.10872 8.18697
5600.17 4.77133 7.88499
5603.05 4.46243 6.42655
5605.92 5.67793 7.21935
5608.8 5.28633 6.26257
5611.68 4.99566 6.19259
5614.56 4.56808 6.89018
5617.44 4.59582 6.22361
5620.32 5.80918 7.72929
5623.2 4.54728 6.83865
5626.08 6.16487 8.45999
5628.96 5.29469 6.41776
5631.83 4.55028 6.63117
5634.71 4.98693 6.94056
5637.59 5.68809 7.04553
5640.47 6.16345 8.3099
5643.35 5.20294 6.69785
5646.23 5.28818 7.93957
5649.1 5.40786 6.96997
5651.98 5.12493 6.90207
5654.86 4.46265 6.48361
5657.74 5.04113 7.08453
5660.62 5.98136 7.97258
5663.49 5.03941 7.06645
5666.37 4.56738 6.61095
5669.25 5.59553 8.04885
5672.13 5.46912 7.65009
5675 5.03735 7.48344
5677.88 6.51238 8.41717
5680.76 4.68191 7.04702
5683.64 6.35453 8.00185
5686.51 5.87012 7.65881
5689.39 6.04368 8.55585
5692.27 6.58265 9.29475
5695.14 6.18525 8.7595
5698.02 5.52705 8.23951
5700.9 6.64286 8.99061
5703.77 6.11245 8.05757
5706.65 5.83593 7.93218
5709.53 5.9855 7.76184
5712.4 7.71067 9.34959
5715.28 5.809 7.96544
5718.16 6.57082 8.34744
5721.03 7.30877 9.6465
5723.91 6.87604 9.75897
5726.78 5.70446 8.13936
5729.66 6.54818 8.50416
5732.53 6.56722 9.03657
5735.41 7.42758 8.82691
5738.29 6.71482 8.78171
5741.16 6.59772 8.82825
5744.04 6.51651 8.73539
5746.91 6.75669 8.8963
5749.79 5.1142 8.23408
5752.66 6.09305 8.19306
5755.54 6.04366 8.45484
5758.41 5.34159 7.88359
5761.29 6.12634 8.02288
5764.16 4.92965 7.94306
5767.04 7.00067 8.89182
5769.91 6.04058 7.81428
5772.79 6.06467 7.24472
5775.66 5.38576 7.15959
5778.53 6.1743 8.15197
5781.41 5.55585 6.96023
5784.28 5.65382 7.36934
5787.16 5.45508 7.62166
5790.03 5.77022 7.24903
5792.91 5.82178 7.77148
5795.78 5.02106 7.34895
5798.65 6.10743 8.01129
5801.53 5.23947 7.72857
5804.4 5.64309 7.41346
5807.27 5.21135 7.7843
5810.15 5.30737 7.57661
5813.02 6.82126 8.45632
5815.89 6.62557 8.0246
5818.77 5.58078 7.31446
5821.64 5.34825 6.80341
5824.51 5.91323 7.14844
5827.38 6.62376 7.47008
5830.26 5.1225 6.52285
