#PI: Shappee 
#OBJECT: ASASSN-14lp 
#JD: 2457047.79345 
# 
#Angstrom    Flux(erg/s/cm**2/Angstrom) 
4720.3 6.8239415e-15 
4722.2 6.7181423e-15 
4724.2 6.5436874e-15 
4726.1 6.500693e-15 
4728.0 6.4777538e-15 
4729.9 6.3224034e-15 
4731.8 6.1988948e-15 
4733.8 6.210088e-15 
4735.7 6.256085e-15 
4737.6 6.2351317e-15 
4739.5 6.2295962e-15 
4741.5 6.1805435e-15 
4743.4 6.1415634e-15 
4745.3 6.2433753e-15 
4747.2 6.2136857e-15 
4749.1 6.1828851e-15 
4751.1 6.2181547e-15 
4753.0 6.2733584e-15 
4754.9 6.3462638e-15 
4756.8 6.4761824e-15 
4758.7 6.4736941e-15 
4760.7 6.5304441e-15 
4762.6 6.5703513e-15 
4764.5 6.6431983e-15 
4766.4 6.8010135e-15 
4768.3 6.9447794e-15 
4770.3 7.0262659e-15 
4772.2 7.19407e-15 
4774.1 7.2430112e-15 
4776.0 7.3560681e-15 
4777.9 7.5253846e-15 
4779.9 7.6054838e-15 
4781.8 7.7864754e-15 
4783.7 7.9485173e-15 
4785.6 8.0680273e-15 
4787.5 8.2394506e-15 
4789.5 8.3673768e-15 
4791.4 8.6407488e-15 
4793.3 8.6642305e-15 
4795.2 8.670714e-15 
4797.2 8.7685777e-15 
4799.1 8.8973673e-15 
4801.0 8.9499885e-15 
4802.9 9.0704141e-15 
4804.8 9.2271213e-15 
4806.8 9.13331e-15 
4808.7 8.891725e-15 
4810.6 8.8358858e-15 
4812.5 8.7810837e-15 
4814.4 8.5211293e-15 
4816.4 8.5404847e-15 
4818.3 8.5382698e-15 
4820.2 8.3948412e-15 
4822.1 8.1909987e-15 
4824.0 8.1660177e-15 
4826.0 8.1479101e-15 
4827.9 8.1489702e-15 
4829.8 8.0111896e-15 
4831.7 7.9134895e-15 
4833.6 8.0385243e-15 
4835.6 8.1655366e-15 
4837.5 8.0730558e-15 
4839.4 8.009767e-15 
4841.3 8.0767687e-15 
4843.2 8.0469543e-15 
4845.2 8.0862873e-15 
4847.1 8.0432881e-15 
4849.0 8.0843706e-15 
4850.9 8.2795253e-15 
4852.9 8.3961678e-15 
4854.8 8.3260129e-15 
4856.7 8.4216421e-15 
4858.6 8.5945554e-15 
4860.5 8.7508172e-15 
4862.5 8.6575987e-15 
4864.4 8.8174978e-15 
4866.3 8.8620606e-15 
4868.2 8.8313962e-15 
4870.1 8.8822863e-15 
4872.1 9.0604586e-15 
4874.0 9.3253034e-15 
4875.9 9.4503068e-15 
4877.8 9.5981215e-15 
4879.7 9.7101979e-15 
4881.7 9.9995251e-15 
4883.6 1.0013813e-14 
4885.5 1.0159762e-14 
4887.4 1.0567101e-14 
4889.3 1.0904189e-14 
4891.3 1.0982178e-14 
4893.2 1.1077878e-14 
4895.1 1.137288e-14 
4897.0 1.1699035e-14 
4898.9 1.19091e-14 
4900.9 1.2031576e-14 
4902.8 1.2343872e-14 
4904.7 1.2562446e-14 
4906.6 1.2737779e-14 
4908.6 1.283093e-14 
4910.5 1.289369e-14 
4912.4 1.3137813e-14 
4914.3 1.3412617e-14 
4916.2 1.3677125e-14 
